scenario,coverage_ratio_mean,coverage_ratio_std,inspection_success_rate_mean,inspection_success_rate_std,mission_time_mean,mission_time_std,total_energy_consumption_mean,total_energy_consumption_std,collision_count_mean,collision_count_std,near_miss_count_mean,near_miss_count_std,communication_loss_count_mean,communication_loss_count_std,invalid_action_count_mean,invalid_action_count_std,detected_targets_mean,detected_targets_std,inspected_targets_mean,inspected_targets_std,candidate_targets_mean,candidate_targets_std,redundant_coverage_proxy_mean,redundant_coverage_proxy_std
0,0.396,0.2244010546618116,0.2,0.17213259316477408,500.0,0.0,163.06999999999886,4.185238609950796,0.0,0.0,0.0,0.0,324.9,145.1638537806311,0.0,0.0,1.2,0.9189365834726815,0.6,0.5163977794943222,4.3,0.6749485577105528,0.8416,0.08976042186472462
1,0.3381875,0.19578710668946855,0.1125,0.09223309842157773,791.4,61.90889363501104,288.2900000000075,0.03944053188734875,0.0,0.0,0.2,0.42163702135578396,765.8,173.1895557538682,0.0,0.0,3.0,1.8257418583505538,0.9,0.7378647873726218,8.0,2.788866755113585,0.7796621392968672,0.11250594525686192
