coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,total_energy_consumption,fixedwing_final_battery,quadrotor_mean_final_battery,quadrotor_min_final_battery,collision_count,near_miss_count,communication_loss_count,invalid_action_count,detected_targets,inspected_targets,candidate_targets,redundant_coverage_proxy,termination_reason,scenario,seed,baseline
0.255,0.5,0.5,0,700,101.44999999999797,12.100000000002167,86.45000000000027,86.45000000000027,0,0,7,0,1,1,6,0.9271428571428572,max_steps_reached,0,0,v1
0.1425,1.0,1.0,1,24,3.8999999999999995,97.40000000000015,98.70000000000005,98.70000000000005,0,0,0,0,2,2,3,0.0,all_targets_inspected,0,1,v1
0.0375,1.0,1.0,1,11,2.8500000000000005,98.45000000000009,98.70000000000005,98.70000000000005,0,0,0,0,2,2,2,0.3181818181818182,all_targets_inspected,0,2,v1
0.2675,0.5,0.5,0,700,100.1999999999979,13.600000000002227,86.20000000000033,86.20000000000033,0,0,20,0,1,1,4,0.9235714285714286,max_steps_reached,0,3,v1
0.74,0.5,0.5,0,700,99.09999999999816,14.500000000002371,86.40000000000032,86.40000000000032,0,0,422,0,1,1,3,0.7885714285714286,max_steps_reached,0,4,v1
0.035,1.0,1.0,1,11,2.650000000000001,98.65000000000008,98.70000000000005,98.70000000000005,0,0,0,0,2,2,2,0.36363636363636365,all_targets_inspected,0,5,v1
0.045,1.0,1.0,1,13,3.150000000000001,98.3500000000001,98.50000000000006,98.50000000000006,0,0,0,0,2,2,3,0.3076923076923077,all_targets_inspected,0,6,v1
0.135,1.0,1.0,1,27,4.749999999999997,97.05000000000017,98.20000000000005,98.20000000000005,0,0,0,0,2,2,2,0.0,all_targets_inspected,0,7,v1
0.545,0.5,0.5,0,700,99.64999999999804,14.30000000000238,86.0500000000003,86.0500000000003,0,0,225,0,1,1,5,0.8442857142857143,max_steps_reached,0,8,v1
0.2425,0.5,0.5,0,700,95.39999999999813,12.200000000002168,92.40000000000003,92.40000000000003,0,0,589,0,1,1,5,0.9307142857142857,max_steps_reached,0,9,v1
