coverage_ratio,inspection_success_rate,mission_time,total_energy_consumption,collision_count,near_miss_count,communication_loss_count,invalid_action_count,detected_targets,inspected_targets,candidate_targets,redundant_coverage_proxy,termination_reason,reward
0.0225,0.0,1,0.4,0,0,0,0,0,0,0,0.0,,0.07
0.0275,0.0,2,0.8,0,0,0,0,0,0,0,0.0,,0.15
0.0275,0.0,3,1.2000000000000002,0,0,0,0,0,0,0,0.0,,-0.07
0.0275,0.0,4,1.6000000000000003,0,0,0,0,0,0,0,0.0,,-0.09000000000000001
0.0275,0.0,5,2.0000000000000004,0,0,0,0,0,0,0,0.0,,-0.11000000000000003
0.0275,0.0,6,2.4000000000000004,0,0,0,0,0,0,0,0.08333333333333333,,-0.13000000000000003
0.0275,0.0,7,2.8000000000000003,0,0,0,0,0,0,0,0.21428571428571427,,-0.15000000000000002
0.0275,0.0,8,3.2,0,0,0,0,0,0,0,0.3125,,-0.17000000000000004
0.03,0.0,9,3.6,0,0,0,0,0,0,0,0.3333333333333333,,-0.09000000000000001
0.0325,0.0,10,4.0,0,0,0,0,0,0,0,0.35,,-0.11
0.0375,0.0,11,4.3999999999999995,0,0,0,0,0,0,0,0.3181818181818182,,-0.029999999999999964
0.04,0.0,12,4.799999999999999,0,0,0,0,0,0,0,0.3333333333333333,,-0.14999999999999997
0.0525,0.0,13,5.199999999999998,0,0,0,0,0,0,0,0.19230769230769232,,0.23000000000000004
0.0575,0.0,14,5.499999999999998,0,0,0,0,0,0,0,0.17857142857142858,,-0.0849999999999999
0.0675,0.0,15,5.799999999999998,0,0,0,0,0,0,0,0.1,,0.1000000000000001
0.075,0.0,16,6.099999999999998,0,0,0,0,0,0,0,0.0625,,-0.014999999999999894
0.085,0.0,17,6.399999999999998,0,0,0,0,0,0,0,0.0,,0.07000000000000013
0.09,0.0,18,6.6999999999999975,0,0,0,0,0,0,0,0.0,,-0.1449999999999999
0.105,0.0,19,6.999999999999997,0,0,0,0,0,0,0,0.0,,0.2400000000000002
0.11,0.0,20,7.299999999999997,0,0,0,0,0,0,0,0.0,,-0.17499999999999988
0.12,0.0,21,7.599999999999997,0,0,0,0,0,0,0,0.0,,0.010000000000000129
