agent_id,uav_type,step,x,y
fixedwing_0,fixedwing,0,0.0,0.0
fixedwing_0,fixedwing,1,27.1892336110995,-12.678547852220984
fixedwing_0,fixedwing,2,46.47286190169568,-22.98133329356934
fixedwing_0,fixedwing,3,54.237433254771304,-28.97777478867205
fixedwing_0,fixedwing,4,49.027987924763394,-29.544232590366242
fixedwing_0,fixedwing,5,31.82069483423201,-24.574561328669752
fixedwing_0,fixedwing,6,5.839932720698851,-14.999999999999998
fixedwing_0,fixedwing,7,-24.045908222053516,-2.614672282429746
fixedwing_0,fixedwing,8,-28.190778623577252,10.26060429977006
fixedwing_0,fixedwing,9,-21.21320343559643,31.473807735366485
fixedwing_0,fixedwing,10,-10.260604299770057,59.66458635894374
fixedwing_0,fixedwing,11,2.6146722824297632,89.5504273016961
fixedwing_0,fixedwing,12,17.61467228242979,115.53118941522925
fixedwing_0,fixedwing,13,42.18923361109957,132.7384825057606
fixedwing_0,fixedwing,14,66.76379493976934,149.94577559629195
fixedwing_0,fixedwing,15,91.33835626843911,167.1530686868233
fixedwing_0,fixedwing,16,115.91291759710889,184.36036177735465
fixedwing_0,fixedwing,17,140.48747892577867,201.567654867886
fixedwing_0,fixedwing,18,165.06204025444845,218.77494795841736
fixedwing_0,fixedwing,19,189.63660158311822,235.9822410489487
fixedwing_0,fixedwing,20,214.211162911788,253.18953413948006
fixedwing_0,fixedwing,21,238.78572424045777,270.3968272300114
fixedwing_0,fixedwing,22,263.36028556912754,287.60412032054273
fixedwing_0,fixedwing,23,287.93484689779734,304.81141341107406
fixedwing_0,fixedwing,24,312.50940822646714,322.0187065016054
fixedwing_0,fixedwing,25,337.08396955513695,339.2259995921367
fixedwing_0,fixedwing,26,361.65853088380675,356.433292682668
fixedwing_0,fixedwing,27,386.23309221247655,373.64058577319935
fixedwing_0,fixedwing,28,410.80765354114635,390.84787886373067
fixedwing_0,fixedwing,29,435.38221486981615,408.055171954262
fixedwing_0,fixedwing,30,459.95677619848595,425.2624650447933
fixedwing_0,fixedwing,31,484.53133752715576,442.46975813532464
fixedwing_0,fixedwing,32,509.10589885582556,459.67705122585596
fixedwing_0,fixedwing,33,533.6804601844954,476.8843443163873
fixedwing_0,fixedwing,34,558.2550215131652,494.0916374069186
fixedwing_0,fixedwing,35,582.829582841835,511.29893049744993
fixedwing_0,fixedwing,36,607.4041441705048,528.5062235879813
fixedwing_0,fixedwing,37,631.9787054991746,545.7135166785126
fixedwing_0,fixedwing,38,656.5532668278444,562.920809769044
fixedwing_0,fixedwing,39,681.1278281565142,580.1281028595754
fixedwing_0,fixedwing,40,705.702389485184,597.3353959501068
fixedwing_0,fixedwing,41,730.2769508138538,614.5426890406382
fixedwing_0,fixedwing,42,754.8515121425236,631.7499821311695
fixedwing_0,fixedwing,43,779.4260734711934,648.9572752217009
fixedwing_0,fixedwing,44,804.0006347998632,666.1645683122323
fixedwing_0,fixedwing,45,828.575196128533,683.3718614027637
fixedwing_0,fixedwing,46,853.1497574572028,700.579154493295
fixedwing_0,fixedwing,47,877.7243187858726,717.7864475838264
fixedwing_0,fixedwing,48,902.2988801145424,734.9937406743578
fixedwing_0,fixedwing,49,926.8734414432122,752.2010337648892
fixedwing_0,fixedwing,50,951.448002771882,769.4083268554206
fixedwing_0,fixedwing,51,976.0225641005518,786.615619945952
fixedwing_0,fixedwing,52,1000.5971254292216,803.8229130364833
fixedwing_0,fixedwing,53,1025.1716867578914,821.0302061270147
fixedwing_0,fixedwing,54,1049.746248086561,838.2374992175461
fixedwing_0,fixedwing,55,1074.3208094152308,855.4447923080775
fixedwing_0,fixedwing,56,1098.8953707439005,872.6520853986088
fixedwing_0,fixedwing,57,1123.4699320725701,889.8593784891402
fixedwing_0,fixedwing,58,1148.0444934012398,907.0666715796716
fixedwing_0,fixedwing,59,1172.6190547299095,924.273964670203
fixedwing_0,fixedwing,60,1197.1936160585792,941.4812577607344
fixedwing_0,fixedwing,61,1221.768177387249,958.6885508512657
fixedwing_0,fixedwing,62,1246.3427387159186,975.8958439417971
fixedwing_0,fixedwing,63,1270.9173000445883,993.1031370323285
fixedwing_0,fixedwing,64,1295.491861373258,1010.3104301228599
fixedwing_0,fixedwing,65,1320.0664227019276,1027.5177232133913
fixedwing_0,fixedwing,66,1344.6409840305973,1044.7250163039225
fixedwing_0,fixedwing,67,1369.215545359267,1061.9323093944538
fixedwing_0,fixedwing,68,1393.7901066879367,1079.139602484985
fixedwing_0,fixedwing,69,1418.3646680166064,1096.3468955755163
fixedwing_0,fixedwing,70,1442.939229345276,1113.5541886660476
fixedwing_0,fixedwing,71,1467.5137906739458,1130.7614817565789
fixedwing_0,fixedwing,72,1492.0883520026155,1147.9687748471101
fixedwing_0,fixedwing,73,1516.6629133312852,1165.1760679376414
fixedwing_0,fixedwing,74,1541.2374746599548,1182.3833610281727
fixedwing_0,fixedwing,75,1565.8120359886245,1199.590654118704
fixedwing_0,fixedwing,76,1590.3865973172942,1216.7979472092352
fixedwing_0,fixedwing,77,1614.961158645964,1234.0052402997665
fixedwing_0,fixedwing,78,1639.5357199746336,1251.2125333902977
fixedwing_0,fixedwing,79,1664.1102813033033,1268.419826480829
fixedwing_0,fixedwing,80,1688.684842631973,1285.6271195713603
fixedwing_0,fixedwing,81,1713.2594039606427,1302.8344126618915
fixedwing_0,fixedwing,82,1737.8339652893123,1320.0417057524228
fixedwing_0,fixedwing,83,1728.7534679107243,1348.6344420215778
fixedwing_0,fixedwing,84,1719.6729705321363,1377.2271782907328
fixedwing_0,fixedwing,85,1710.5924731535483,1405.8199145598878
fixedwing_0,fixedwing,86,1701.5119757749603,1434.4126508290428
fixedwing_0,fixedwing,87,1692.4314783963723,1463.0053870981978
fixedwing_0,fixedwing,88,1683.3509810177843,1491.5981233673529
fixedwing_0,fixedwing,89,1674.2704836391963,1520.1908596365079
fixedwing_0,fixedwing,90,1665.1899862606083,1548.7835959056629
fixedwing_0,fixedwing,91,1656.1094888820203,1577.376332174818
fixedwing_0,fixedwing,92,1647.0289915034323,1605.969068443973
fixedwing_0,fixedwing,93,1637.9484941248443,1634.561804713128
fixedwing_0,fixedwing,94,1628.8679967462563,1663.154540982283
fixedwing_0,fixedwing,95,1619.7874993676683,1691.747277251438
fixedwing_0,fixedwing,96,1610.7070019890803,1720.340013520593
