coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,total_energy_consumption,fixedwing_final_battery,quadrotor_mean_final_battery,quadrotor_min_final_battery,collision_count,near_miss_count,communication_loss_count,invalid_action_count,detected_targets,inspected_targets,candidate_targets,redundant_coverage_proxy,termination_reason,scenario,scenario_name,seed,baseline
0.1425,1.0,1.0,1,24,4.049999999999999,97.50000000000014,98.45000000000005,98.45000000000005,0,0,0,0,2,2,2,0.0,all_targets_inspected,0,scenario_0_easy,0,v2
0.1375,1.0,1.0,1,23,3.749999999999999,97.55000000000014,98.70000000000005,98.70000000000005,0,0,0,0,2,2,2,0.0,all_targets_inspected,0,scenario_0_easy,1,v2
0.1375,1.0,1.0,1,23,3.749999999999999,97.55000000000014,98.70000000000005,98.70000000000005,0,0,0,0,2,2,2,0.0,all_targets_inspected,0,scenario_0_easy,2,v2
0.1375,1.0,1.0,1,23,3.749999999999999,97.55000000000014,98.70000000000005,98.70000000000005,0,0,0,0,2,2,2,0.0,all_targets_inspected,0,scenario_0_easy,3,v2
0.1375,1.0,1.0,1,23,3.749999999999999,97.55000000000014,98.70000000000005,98.70000000000005,0,0,0,0,2,2,2,0.0,all_targets_inspected,0,scenario_0_easy,4,v2
0.3925,0.5,0.5,0,700,90.24999999999842,10.200000000002062,99.55000000000001,99.55000000000001,0,0,559,0,1,1,1,0.8878571428571429,max_steps_reached,0,scenario_0_easy,5,v2
0.1375,1.0,1.0,1,23,3.749999999999999,97.55000000000014,98.70000000000005,98.70000000000005,0,0,0,0,2,2,2,0.0,all_targets_inspected,0,scenario_0_easy,6,v2
0.6725,0.5,0.5,0,700,88.94999999999848,11.500000000002087,99.55000000000001,99.55000000000001,0,0,571,0,1,1,1,0.8078571428571428,max_steps_reached,0,scenario_0_easy,7,v2
0.1375,1.0,1.0,1,23,3.749999999999999,97.55000000000014,98.70000000000005,98.70000000000005,0,0,0,0,2,2,2,0.0,all_targets_inspected,0,scenario_0_easy,8,v2
0.1375,1.0,1.0,1,23,3.749999999999999,97.55000000000014,98.70000000000005,98.70000000000005,0,0,0,0,2,2,2,0.0,all_targets_inspected,0,scenario_0_easy,9,v2
