coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,total_energy_consumption,fixedwing_final_battery,quadrotor_mean_final_battery,quadrotor_min_final_battery,collision_count,near_miss_count,communication_loss_count,invalid_action_count,detected_targets,inspected_targets,candidate_targets,redundant_coverage_proxy,termination_reason,reward
0.00625,0.0,0.0,0,1,0.15000000000000002,99.85000000000001,100.0,100.0,0,0,0,0,0,0,0,0.0,,0.0825
0.0075,0.0,0.0,0,2,0.3,99.70000000000002,100.0,100.0,0,0,0,0,0,0,0,0.0,,0.1825
0.0075,0.0,0.0,0,3,0.45,99.55000000000003,100.0,100.0,0,0,0,0,0,0,0,0.0,,-0.0175
0.0075,0.0,0.0,0,4,0.8500000000000001,99.40000000000003,99.875,99.75,0,0,0,0,0,0,0,0.0,,-0.030000000000000006
0.0075,0.0,0.0,0,5,1.0,99.25000000000004,99.875,99.75,0,0,0,0,0,0,0,0.2,,-0.017499999999999995
0.0075,0.0,0.0,0,6,1.1500000000000001,99.10000000000005,99.875,99.75,0,0,0,0,0,0,0,0.3333333333333333,,-0.01750000000000001
0.0075,0.0,0.0,0,7,1.3000000000000003,98.95000000000006,99.875,99.75,0,0,0,0,0,0,0,0.42857142857142855,,-0.01750000000000001
0.0075,0.0,0.0,0,8,1.4500000000000004,98.80000000000007,99.875,99.75,0,0,0,0,0,0,0,0.5,,-0.01750000000000001
0.0075,0.0,0.0,0,9,1.6000000000000005,98.65000000000008,99.875,99.75,0,0,0,0,0,0,0,0.5555555555555556,,-0.01750000000000001
0.008125,0.0,0.0,0,10,1.7500000000000007,98.50000000000009,99.875,99.75,0,0,0,0,0,0,0,0.5666666666666667,,0.0825
0.009375,0.0,0.0,0,11,1.9000000000000008,98.3500000000001,99.875,99.75,0,0,0,0,0,0,0,0.5454545454545454,,0.1825
0.01,0.0,0.0,0,12,2.3000000000000007,98.2000000000001,99.75,99.5,0,0,0,0,0,0,0,0.5555555555555556,,0.07000000000000002
0.013125,0.0,0.0,0,13,2.4500000000000006,98.05000000000011,99.75,99.5,0,0,0,0,0,0,0,0.46153846153846156,,0.4825
0.014375,0.0,0.0,0,14,2.5000000000000004,98.00000000000011,99.75,99.5,0,0,0,0,0,0,0,0.4523809523809524,,0.1875
0.016875,0.0,0.0,0,15,2.5500000000000003,97.95000000000012,99.75,99.5,0,0,0,0,0,0,0,0.4,,0.3875
0.01875,0.0,0.0,0,16,2.6,97.90000000000012,99.75,99.5,0,0,0,0,0,0,0,0.375,,0.28750000000000003
0.02125,0.0,0.0,0,17,2.65,97.85000000000012,99.75,99.5,0,0,0,0,0,0,0,0.3333333333333333,,0.3875
0.0225,0.0,0.0,0,18,2.9499999999999997,97.80000000000013,99.625,99.5,0,0,0,0,0,0,0,0.3333333333333333,,0.17500000000000002
0.02625,0.0,0.0,0,19,2.9999999999999996,97.75000000000013,99.625,99.5,0,0,0,0,0,0,0,0.2631578947368421,,0.5875000000000001
0.0275,0.0,0.0,0,20,3.0499999999999994,97.70000000000013,99.625,99.5,0,0,0,0,0,0,0,0.26666666666666666,,0.1875
0.03,0.0,0.0,0,21,3.099999999999999,97.65000000000013,99.625,99.5,0,0,0,0,0,0,0,0.23809523809523808,,0.3875
0.031875,0.0,0.0,0,22,3.149999999999999,97.60000000000014,99.625,99.5,0,0,0,0,0,0,0,0.22727272727272727,,0.28750000000000003
0.034375,0.0,0.0,0,23,3.449999999999999,97.55000000000014,99.5,99.25,0,0,0,0,0,0,0,0.2028985507246377,,0.375
0.035625,0.0,0.0,0,24,3.4999999999999987,97.50000000000014,99.5,99.25,0,0,0,0,0,0,0,0.20833333333333334,,0.1875
0.039375,0.0,0.0,0,25,3.5499999999999985,97.45000000000014,99.5,99.25,0,0,0,0,0,0,0,0.16,,0.5875000000000001
0.04125,0.0,0.0,0,26,3.5999999999999983,97.40000000000015,99.5,99.25,0,0,0,0,0,0,0,0.15384615384615385,,0.28750000000000003
0.04375,0.0,0.0,0,27,3.649999999999998,97.35000000000015,99.5,99.25,0,0,0,0,0,0,0,0.13580246913580246,,0.3875
0.04625,0.0,0.0,0,28,3.699999999999998,97.30000000000015,99.5,99.25,0,0,0,0,0,0,0,0.11904761904761904,,0.3875
0.048125,0.0,0.0,0,29,3.749999999999998,97.25000000000016,99.5,99.25,0,0,0,0,0,0,0,0.11494252873563218,,0.28750000000000003
0.04875,0.0,0.0,0,30,3.7999999999999976,97.20000000000016,99.5,99.25,0,0,0,0,0,0,0,0.13333333333333333,,0.08750000000000002
0.053125,0.0,0.0,0,31,3.8499999999999974,97.15000000000016,99.5,99.25,0,0,0,0,0,0,0,0.08602150537634409,,0.6875000000000001
0.055,0.0,0.0,0,32,3.8999999999999972,97.10000000000016,99.5,99.25,0,0,0,0,0,0,0,0.08333333333333333,,0.28750000000000003
0.0575,0.0,0.0,0,33,3.949999999999997,97.05000000000017,99.5,99.25,0,0,0,0,0,0,0,0.0707070707070707,,0.3875
0.06,0.0,0.0,0,34,3.999999999999997,97.00000000000017,99.5,99.25,0,0,0,0,0,0,0,0.058823529411764705,,0.3875
