epoch,loss,accuracy,samples
1,4256010.870311619,0.7945856530917081,243021
2,4256010.629192539,0.824480188954864,243021
3,4256010.213172936,0.8234432415305674,243021
4,4256009.9327660985,0.8255994337937874,243021
5,4256009.558581357,0.828191802354529,243021
6,4256009.02248674,0.8296402368519593,243021
7,4256008.720474774,0.8313808271713145,243021
8,4256008.507616626,0.8325782545541331,243021
9,4256008.088508812,0.8341048715954589,243021
10,4256007.804128039,0.8353228733319342,243021
11,4256007.408880303,0.8364668073952457,243021
12,4256007.229595385,0.8380181136609594,243021
13,4256006.873691985,0.840096123380284,243021
14,4256006.465402167,0.8416268552923409,243021
15,4256006.038778542,0.8430999790141592,243021
16,4256005.832790171,0.8448940626530218,243021
17,4256005.656088362,0.846758099094317,243021
18,4256005.381530814,0.8483670135502693,243021
19,4256005.180963785,0.8498113331769682,243021
20,4256004.884108781,0.8517124034548454,243021
21,4256004.624363738,0.8535723250254094,243021
22,4256004.417067867,0.854596927837512,243021
23,4256004.007293608,0.8558478485398381,243021
24,4256003.703912419,0.8566625929446426,243021
25,4256003.450714136,0.856666707815374,243021
26,4256003.279841042,0.858148061278655,243021
27,4256002.816122887,0.8582879668835204,243021
28,4256002.602326548,0.8582920817542516,243021
29,4256002.032976574,0.8579958110615955,243021
30,4256001.604530062,0.8574279589006711,243021
31,4256001.079732821,0.8564033560885684,243021
32,4256000.626567251,0.8560289028520169,243021
33,4256000.330644266,0.8556709090983907,243021
34,4256000.27677855,0.8549754959447949,243021
35,4256000.262903206,0.8537451495961255,243021
36,4255999.919453463,0.8531567230815444,243021
37,4255999.900291539,0.8528727970010822,243021
38,4255999.735210126,0.8522349920377251,243021
39,4255999.533221409,0.8522555663913818,243021
40,4255999.48622547,0.8521238905279791,243021
41,4255999.258934413,0.8515231194012041,243021
42,4255998.615936483,0.8520703972084717,243021
43,4255998.287273528,0.8522843704865012,243021
44,4255997.630723271,0.85252714785965,243021
45,4255997.179334296,0.8521197756572477,243021
46,4255996.932546982,0.8523707827718592,243021
47,4255996.674281235,0.852391357125516,243021
48,4255996.404415668,0.852037478242621,243021
49,4255996.127342905,0.8517617819036215,243021
50,4255995.749480498,0.8522432217791878,243021
51,4255995.351905802,0.8524818842816053,243021
52,4255995.047742788,0.8523460935474712,243021
53,4255994.864708194,0.8528645672596196,243021
54,4255994.606863193,0.8534941424815139,243021
55,4255994.350607561,0.8532225610132458,243021
56,4255994.169937989,0.8535723250254094,243021
57,4255993.863701079,0.8537410347253941,243021
58,4255993.705553223,0.8545598940009299,243021
59,4255993.217231227,0.8539879269692743,243021
60,4255992.770742035,0.8545640088716613,243021
61,4255992.445517054,0.8551647799984363,243021
62,4255992.279789607,0.8553005707325705,243021
63,4255991.857024701,0.855123631291123,243021
64,4255991.573935998,0.8553293748276898,243021
65,4255991.263226223,0.8548726241765114,243021
66,4255990.975006275,0.8557367470300921,243021
67,4255990.704875299,0.8552141584472124,243021
68,4255990.3064549975,0.8560782813007929,243021
69,4255989.849243481,0.8564733088910012,243021
70,4255989.592987848,0.8565309170812399,243021
71,4255989.512773587,0.8566749375568367,243021
72,4255989.068810926,0.8568765662226722,243021
73,4255988.908376231,0.8567202011348813,243021
74,4255988.602190757,0.8583784940396098,243021
75,4255988.401500282,0.8586665349908033,243021
76,4255988.176484748,0.858859933915176,243021
77,4255987.756543674,0.8590121841322355,243021
78,4255987.282284247,0.8596129552590105,243021
79,4255987.0623937845,0.8594113265931751,243021
80,4255986.850322606,0.8599174556931294,243021
81,4255986.343608165,0.8606457878125758,243021
82,4255986.072740627,0.8613658901905596,243021
83,4255985.778885364,0.8614975660539624,243021
84,4255985.533221409,0.8617197690734546,243021
85,4255985.221594019,0.8616498162710219,243021
86,4255984.764189103,0.8626579596001992,243021
87,4255984.417055522,0.862411067356319,243021
88,4255984.120466956,0.8627608313684826,243021
89,4255983.927861173,0.8633122240464816,243021
90,4255983.650285366,0.8634727040050036,243021
91,4255983.419815571,0.8635385419367051,243021
92,4255983.143596644,0.8640199818122714,243021
93,4255982.862776262,0.8642545294439575,243021
94,4255982.567822328,0.8647195098365985,243021
95,4255982.162583686,0.864995206175598,243021
96,4255981.7796023805,0.8652215240658214,243021
97,4255981.50523823,0.8652215240658214,243021
98,4255981.259154559,0.8650857333316874,243021
99,4255980.884555244,0.86503224001218,243021
100,4255980.670345361,0.8656371260096865,243021
