coverage_ratio_mean,coverage_ratio_std,inspection_success_rate_mean,inspection_success_rate_std,target_detection_rate_mean,target_detection_rate_std,mission_success_mean,mission_success_std,mission_time_mean,mission_time_std,total_energy_consumption_mean,total_energy_consumption_std,collision_count_mean,collision_count_std,near_miss_count_mean,near_miss_count_std,communication_loss_count_mean,communication_loss_count_std,invalid_action_count_mean,invalid_action_count_std,detected_targets_mean,detected_targets_std,inspected_targets_mean,inspected_targets_std,candidate_targets_mean,candidate_targets_std,quadrotor_hover_inspect_count_mean,quadrotor_hover_inspect_count_std,quadrotor_valid_hover_inspect_count_mean,quadrotor_valid_hover_inspect_count_std,quadrotor_invalid_hover_inspect_count_mean,quadrotor_invalid_hover_inspect_count_std,mean_distance_to_candidate_mean,mean_distance_to_candidate_std,time_in_candidate_range_mean,time_in_candidate_range_std,checkpoint,update,eval_mode
0.520875,0.21457103524629476,0.425,0.22973414586817037,0.4875,0.2791977594625159,0.0,0.0,781.7,327.7000830705486,205.03999999999766,86.14780515679573,0.5,0.5270462766947299,5.9,5.506561742341788,302.3,228.6312168828512,0.0,0.0,3.9,2.2335820757001272,3.4,1.837873166945363,10.5,5.060742150229659,100.8,51.20720435424861,43.2,30.93290229584745,57.6,27.540676986757042,220.67506218108431,105.69173315089739,344.3,257.4848647116089,models\3c_capability_aware_mappo\capability_aware_mappo_scenario_1_update_300.pt,300,sampling
0.4645625,0.24100845168732615,0.325,0.2958039891549808,0.4125,0.3230174573885718,0.0,0.0,579.8,411.47290986838436,114.31999999999898,75.82338103191513,0.6,0.5163977794943223,6.5,12.81708928648692,359.5,318.8584673836061,0.0,0.0,3.3,2.5841396591085743,2.6,2.3664319132398464,10.0,8.537498983243799,403.5,367.05169178801566,74.6,97.98321851782126,328.9,287.6890489554458,328.505353161302,255.40224158624417,98.8,127.12443597602399,models\3c_capability_aware_mappo\capability_aware_mappo_scenario_1_update_3000.pt,3000,sampling
0.4645625,0.24100845168732615,0.325,0.2958039891549808,0.4125,0.3230174573885718,0.0,0.0,579.8,411.47290986838436,114.31999999999898,75.82338103191513,0.6,0.5163977794943223,6.5,12.81708928648692,359.5,318.8584673836061,0.0,0.0,3.3,2.5841396591085743,2.6,2.3664319132398464,10.0,8.537498983243799,403.5,367.05169178801566,74.6,97.98321851782126,328.9,287.6890489554458,328.505353161302,255.40224158624417,98.8,127.12443597602399,models\3c_capability_aware_mappo\capability_aware_mappo_scenario_1.pt,1000000000,sampling
0.4645625,0.30380687196208855,0.3125,0.3131936745494356,0.425,0.3129163892586431,0.0,0.0,649.7,459.7847443218523,156.78499999999815,112.02895471459199,0.4,0.5163977794943223,6.5,5.233439489369194,305.8,271.51296265351476,0.0,0.0,3.4,2.503331114069145,2.5,2.5055493963954847,9.0,6.815016100086957,144.4,123.63584521578773,19.3,16.384613378275226,125.1,111.46045636607332,265.6384992880912,160.55436049229107,92.2,85.4956789031534,models\3c_capability_aware_mappo\capability_aware_mappo_scenario_1_update_1500.pt,1500,sampling
0.289625,0.2091115050105512,0.2625,0.27290871489688023,0.2875,0.26385233664979274,0.0,0.0,436.3,431.34030133475306,115.519999999999,110.65131469821904,0.7,0.48304589153964794,5.9,5.363456596884761,190.3,187.52247272734482,0.0,0.0,2.3,2.110818693198342,2.1,2.183269719175042,6.2,5.3499740393970345,153.6,204.80841996580338,90.9,144.56482590481298,62.7,66.24709637242812,246.24191812995122,244.41259747883095,274.5,429.68392776292876,models\3c_capability_aware_mappo\capability_aware_mappo_scenario_1_update_600.pt,600,sampling
0.3555625,0.21454276517812895,0.2125,0.2889756814066617,0.2625,0.25310570914145736,0.0,0.0,622.7,450.4370840269112,134.85499999999894,95.06337783581748,0.6,0.5163977794943223,7.1,8.974655672751153,274.1,261.216151448906,0.0,0.0,2.1,2.024845673131659,1.7,2.3118054512532935,7.3,5.963779562212764,405.3,358.20262732456644,236.7,266.22381978745295,168.6,143.53644523643155,202.45889046360048,141.14279825661234,440.0,497.602250798768,models\3c_capability_aware_mappo\capability_aware_mappo_scenario_1_update_2000.pt,2000,sampling
0.367625,0.24661982241003166,0.1625,0.13241873818392252,0.275,0.21081851067789195,0.0,0.0,458.4,413.99495434391736,122.79499999999904,107.5187902182675,0.7,0.48304589153964794,4.8,5.788878225624643,362.6,438.0835029484169,0.0,0.0,2.2,1.6865480854231356,1.3,1.0593499054713802,6.3,5.355163655555055,93.6,136.76354290038947,10.7,19.607538232923467,82.9,130.1746263037975,416.7369593791433,188.8688699304409,68.1,117.32997154274871,models\3c_capability_aware_mappo\capability_aware_mappo_scenario_1_update_900.pt,900,sampling
0.3759375,0.11838366373903866,0.0875,0.10290907529357057,0.2625,0.216105041331499,0.0,0.0,648.6,340.768477937082,164.564999999998,83.38362499116045,0.6,0.5163977794943223,3.0,3.559026084010437,501.5,446.92187982539707,0.0,0.0,2.1,1.728840330651992,0.7,0.8232726023485646,7.5,3.6590830666833583,197.5,154.457653312054,7.3,20.330874168231045,190.2,149.0181197036119,324.2187958619146,164.87448598200243,35.3,73.58751403752014,models\3c_capability_aware_mappo\capability_aware_mappo_scenario_1_update_2500.pt,2500,sampling
0.194875,0.2985155402617723,0.0125,0.03952847075210474,0.2125,0.3537988285892297,0.0,0.0,229.0,406.6453546328108,59.08999999999958,106.06900479300066,0.8,0.4216370213557839,9.9,8.238797107453113,192.3,404.115233840822,0.0,0.0,1.7,2.8303906287138374,0.1,0.31622776601683794,3.8,6.214677966091423,67.0,143.77837884126467,0.0,0.0,67.0,143.77837884126467,244.83535908687094,231.2685756520176,0.0,0.0,models\3c_capability_aware_mappo\capability_aware_mappo_scenario_1_update_1000.pt,1000,sampling
0.2129375,0.19386109046385078,0.0,0.0,0.2125,0.20454896181055962,0.0,0.0,313.2,408.43408280896443,80.40999999999902,104.75015725259848,0.8,0.4216370213557839,6.7,5.1001089312985375,164.9,348.0502677615532,0.0,0.0,1.7,1.636391694484477,0.0,0.0,4.2,4.565571644870382,2.9,5.40473043833928,0.0,0.0,2.9,5.40473043833928,263.2717572084251,194.16714213158667,2.3,7.273238618387272,models\3c_capability_aware_mappo\capability_aware_mappo_scenario_1_update_500.pt,500,sampling
