coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,total_energy_consumption,fixedwing_final_battery,quadrotor_mean_final_battery,quadrotor_min_final_battery,collision_count,near_miss_count,communication_loss_count,invalid_action_count,detected_targets,inspected_targets,candidate_targets,redundant_coverage_proxy,termination_reason,reward
0.068125,0.0,0.0,0,38,22.200000000000014,96.80000000000018,90.5,90.5,0,0,0,0,0,0,0,0.043859649122807015,,0.2625
0.07,0.0,0.0,0,39,22.750000000000014,96.75000000000018,90.25,90.25,0,0,1,0,0,0,0,0.042735042735042736,,0.2425
0.073125,0.0,0.0,0,40,23.300000000000015,96.70000000000019,90.0,90.0,0,0,2,0,0,0,0,0.025,,0.44249999999999995
0.074375,0.0,0.0,0,41,23.850000000000016,96.65000000000019,89.75,89.75,0,0,3,0,0,0,0,0.032520325203252036,,0.1425
0.076875,0.0,0.0,0,42,24.400000000000016,96.6000000000002,89.5,89.5,0,0,4,0,0,0,0,0.023809523809523808,,0.34249999999999997
0.079375,0.0,0.0,0,43,24.950000000000017,96.5500000000002,89.25,89.25,0,0,5,0,0,0,0,0.015503875968992248,,0.34249999999999997
0.080625,0.0,0.0,0,44,25.500000000000018,96.5000000000002,89.0,89.0,0,0,6,0,0,0,0,0.022727272727272728,,0.1425
0.08375,0.0,0.0,0,45,26.05000000000002,96.4500000000002,88.75,88.75,0,0,7,0,0,0,0,0.007407407407407408,,0.44249999999999995
0.086875,0.0,0.0,0,46,26.60000000000002,96.4000000000002,88.5,88.5,0,0,8,0,0,0,0,0.0,,0.44249999999999995
0.088125,0.0,0.0,0,47,27.15000000000002,96.35000000000021,88.25,88.25,0,0,9,0,0,0,0,0.0,,0.1425
0.090625,0.0,0.0,0,48,27.70000000000002,96.30000000000021,88.0,88.0,0,0,10,0,0,0,0,0.0,,0.34249999999999997
0.0925,0.0,0.0,0,49,28.25000000000002,96.25000000000021,87.75,87.75,0,0,11,0,0,0,0,0.0,,0.2425
0.094375,0.0,0.0,0,50,28.800000000000022,96.20000000000022,87.5,87.5,0,0,12,0,0,0,0,0.0,,0.2425
0.098125,0.0,0.0,0,51,29.350000000000023,96.15000000000022,87.25,87.25,0,0,13,0,0,0,0,0.0,,0.5425
0.100625,0.0,0.0,0,52,29.900000000000023,96.10000000000022,87.0,87.0,0,0,14,0,0,0,0,0.0,,0.34249999999999997
0.101875,0.0,0.0,0,53,30.450000000000024,96.05000000000022,86.75,86.75,0,0,15,0,0,0,0,0.0,,0.1425
0.104375,0.0,0.0,0,54,31.000000000000025,96.00000000000023,86.5,86.5,0,0,16,0,0,0,0,0.0,,0.34249999999999997
0.105625,0.0,0.0,0,55,31.550000000000026,95.95000000000023,86.25,86.25,0,0,17,0,0,0,0,0.0,,0.1425
0.108125,0.0,0.0,0,56,32.10000000000002,95.90000000000023,86.0,86.0,0,0,18,0,0,0,0,0.0,,0.34250000000000014
0.110625,0.0,0.0,0,57,32.65000000000002,95.85000000000024,85.75,85.75,0,0,19,0,0,0,0,0.0,,0.34250000000000014
0.113125,0.0,0.0,0,58,33.20000000000002,95.80000000000024,85.5,85.5,0,0,20,0,0,0,0,0.0,,0.34250000000000014
0.114375,0.0,0.0,0,59,33.750000000000014,95.75000000000024,85.25,85.25,0,0,21,0,0,0,0,0.0,,0.14250000000000015
0.1175,0.0,0.0,0,60,34.30000000000001,95.70000000000024,85.0,85.0,0,0,22,0,0,0,0,0.0,,0.4425000000000001
0.11875,0.0,0.0,0,61,34.85000000000001,95.65000000000025,84.75,84.75,0,0,23,0,0,0,0,0.0,,0.14250000000000015
0.12125,0.0,0.0,0,62,35.400000000000006,95.60000000000025,84.5,84.5,0,0,24,0,0,0,0,0.0,,0.34250000000000014
0.12375,0.0,0.0,0,63,35.95,95.55000000000025,84.25,84.25,0,0,25,0,0,0,0,0.0,,0.34250000000000014
0.12625,0.0,0.0,0,64,36.5,95.50000000000026,84.0,84.0,0,0,26,0,0,0,0,0.0,,0.34250000000000014
0.128125,0.0,0.0,0,65,37.05,95.45000000000026,83.75,83.75,0,0,27,0,0,0,0,0.0,,0.24250000000000016
0.13125,0.0,0.0,0,66,37.599999999999994,95.40000000000026,83.5,83.5,0,0,28,0,0,0,0,0.0,,0.4425000000000001
0.1325,0.0,0.0,0,67,38.14999999999999,95.35000000000026,83.25,83.25,0,0,29,0,0,0,0,0.0,,0.14250000000000015
0.13625,0.0,0.0,0,68,38.69999999999999,95.30000000000027,83.0,83.0,0,0,30,0,0,0,0,0.0,,0.5425000000000002
0.1375,0.0,0.0,0,69,39.249999999999986,95.25000000000027,82.75,82.75,0,0,31,0,0,0,0,0.0,,0.14250000000000015
0.14,0.0,0.0,0,70,39.79999999999998,95.20000000000027,82.5,82.5,0,0,32,0,0,0,0,0.0,,0.34250000000000014
0.14125,0.0,0.0,0,71,40.34999999999998,95.15000000000028,82.25,82.25,0,0,33,0,0,0,0,0.0,,0.14250000000000015
0.144375,0.0,0.0,0,72,40.89999999999998,95.10000000000028,82.0,82.0,0,0,34,0,0,0,0,0.0,,0.4425000000000001
0.14625,0.0,0.0,0,73,41.449999999999974,95.05000000000028,81.75,81.75,0,0,35,0,0,0,0,0.0,,0.24250000000000016
0.15,0.0,0.0,0,74,41.99999999999997,95.00000000000028,81.5,81.5,0,0,36,0,0,0,0,0.0,,0.5425000000000002
0.15125,0.0,0.0,0,75,42.54999999999997,94.95000000000029,81.25,81.25,0,0,37,0,0,0,0,0.0,,0.14250000000000015
0.15375,0.0,0.0,0,76,43.099999999999966,94.90000000000029,81.0,81.0,0,0,38,0,0,0,0,0.0,,0.34250000000000014
0.155625,0.0,0.0,0,77,43.64999999999996,94.85000000000029,80.75,80.75,0,0,39,0,0,0,0,0.0,,0.24250000000000016
0.1575,0.0,0.125,0,78,44.19999999999996,94.8000000000003,80.5,80.5,0,0,40,0,1,0,1,0.0,,3.2425
0.159375,0.0,0.125,0,79,44.59999999999996,94.7500000000003,80.325,80.25,0,0,41,0,1,0,1,0.0,,0.2500000000000001
0.163125,0.0,0.125,0,80,44.99999999999996,94.7000000000003,80.15,80.0,0,0,42,0,1,0,1,0.0,,0.5500000000000002
0.164375,0.0,0.125,0,81,45.399999999999956,94.6500000000003,79.97500000000001,79.75,0,0,43,0,1,0,1,0.0,,0.15000000000000008
0.166875,0.0,0.125,0,82,45.799999999999955,94.6000000000003,79.80000000000001,79.5,0,0,44,0,1,0,1,0.0,,0.3500000000000001
0.16875,0.0,0.125,0,83,46.19999999999995,94.55000000000031,79.62500000000001,79.25,0,0,45,0,1,0,1,0.0,,0.2500000000000001
0.170625,0.0,0.125,0,84,46.59999999999995,94.50000000000031,79.45000000000002,79.0,0,0,46,0,1,0,1,0.0,,0.2500000000000001
0.173125,0.0,0.125,0,85,46.99999999999995,94.45000000000032,79.27500000000002,78.75,0,0,47,0,1,0,1,0.0,,0.3500000000000001
0.174375,0.0,0.125,0,86,47.39999999999995,94.40000000000032,79.10000000000002,78.5,0,0,48,0,1,0,1,0.0,,0.15000000000000008
0.1775,0.0,0.125,0,87,47.79999999999995,94.35000000000032,78.92500000000003,78.25,0,0,49,0,1,0,1,0.0,,0.45000000000000007
0.179375,0.0,0.125,0,88,48.199999999999946,94.30000000000032,78.75000000000003,78.0,0,0,50,0,1,0,1,0.0,,0.2500000000000001
0.181875,0.0,0.125,0,89,48.599999999999945,94.25000000000033,78.57500000000003,77.75,0,0,51,0,1,0,1,0.0,,0.3500000000000001
0.185,0.0,0.125,0,90,48.99999999999994,94.20000000000033,78.40000000000003,77.5,0,0,52,0,1,0,1,0.0,,0.45000000000000007
0.18625,0.0,0.125,0,91,49.39999999999994,94.15000000000033,78.22500000000004,77.25,0,0,53,0,1,0,1,0.0,,0.15000000000000008
0.19,0.0,0.25,0,92,49.79999999999994,94.10000000000034,78.05000000000004,77.0,0,0,54,0,2,0,2,0.0,,3.5500000000000003
0.1925,0.0,0.25,0,93,50.04999999999994,94.05000000000034,77.95000000000005,76.9,0,0,55,0,2,0,2,0.0,,0.3575
0.195625,0.0,0.25,0,94,50.29999999999994,94.00000000000034,77.85000000000005,76.80000000000001,0,0,56,0,2,0,2,0.0,,0.45749999999999996
0.1975,0.0,0.25,0,95,50.54999999999994,93.95000000000034,77.75000000000006,76.70000000000002,0,0,57,0,2,0,2,0.0,,0.2575
0.200625,0.0,0.25,0,96,50.79999999999994,93.90000000000035,77.65000000000006,76.60000000000002,0,0,58,0,2,0,2,0.0,,0.45749999999999996
0.20375,0.0,0.25,0,97,51.04999999999994,93.85000000000035,77.55000000000007,76.50000000000003,0,0,59,0,2,0,2,0.0,,0.45749999999999996
0.20625,0.0,0.25,0,98,51.29999999999994,93.80000000000035,77.45000000000007,76.40000000000003,0,0,60,0,2,0,2,0.0,,0.3575
0.20875,0.0,0.375,0,99,51.54999999999994,93.75000000000036,77.35000000000008,76.30000000000004,0,0,61,0,3,0,3,0.0,,3.3575
0.2125,0.0,0.375,0,100,51.79999999999994,93.70000000000036,77.25000000000009,76.20000000000005,0,0,62,0,3,0,3,0.0,,0.5575000000000001
0.215,0.0,0.375,0,101,52.04999999999994,93.65000000000036,77.15000000000009,76.10000000000005,0,0,63,0,3,0,3,0.0,,0.3575
0.2175,0.0,0.375,0,102,52.29999999999994,93.60000000000036,77.0500000000001,76.00000000000006,0,0,64,0,3,0,3,0.0,,0.3575
0.22,0.0,0.375,0,103,52.54999999999994,93.55000000000037,76.9500000000001,75.90000000000006,0,0,65,0,3,0,3,0.0,,0.3575
