coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,total_energy_consumption,fixedwing_final_battery,quadrotor_mean_final_battery,quadrotor_min_final_battery,collision_count,near_miss_count,communication_loss_count,invalid_action_count,detected_targets,inspected_targets,candidate_targets,redundant_coverage_proxy,termination_reason,scenario,seed,baseline
0.0525,0.0,0.125,0,548,136.5499999999966,55.80000000000228,53.825000000001864,52.900000000001846,1,40,0,0,1,0,4,0.948905109489051,collision,1,0,random_masked
0.060625,0.0,0.0,0,129,31.900000000000215,90.05000000000057,89.02500000000062,88.50000000000065,1,12,0,0,0,0,2,0.7493540051679587,collision,1,1,random_masked
0.03,0.0,0.0,0,158,42.00000000000021,86.0000000000008,86.00000000000077,85.60000000000079,1,13,0,0,0,0,2,0.8987341772151899,collision,1,2,random_masked
0.028125,0.0,0.0,0,174,44.00000000000021,85.70000000000081,85.15000000000083,84.90000000000083,1,14,0,0,0,0,2,0.9137931034482759,collision,1,3,random_masked
0.034375,0.0,0.0,0,70,17.80000000000001,94.00000000000034,94.10000000000034,94.00000000000034,1,22,0,0,0,0,0,0.7380952380952381,collision,1,4,random_masked
0.019375,0.0,0.0,0,41,10.999999999999988,96.75000000000018,96.12500000000021,96.00000000000023,1,5,0,0,0,0,1,0.7479674796747967,collision,1,5,random_masked
0.008125,0.0,0.0,0,5,1.1500000000000001,99.55000000000003,99.65000000000002,99.60000000000002,1,2,0,0,0,0,0,0.13333333333333333,collision,1,6,random_masked
0.03375,0.0,0.0,0,80,20.250000000000046,93.60000000000036,93.07500000000037,92.95000000000036,1,5,0,0,0,0,2,0.775,collision,1,7,random_masked
0.01125,0.0,0.0,0,11,3.0500000000000007,98.95000000000006,99.00000000000006,99.00000000000006,1,11,0,0,0,0,0,0.45454545454545453,collision,1,8,random_masked
0.008125,0.0,0.0,0,12,3.300000000000001,98.80000000000007,98.95000000000006,98.90000000000006,1,2,0,0,0,0,0,0.6388888888888888,collision,1,9,random_masked
