coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,total_energy_consumption,fixedwing_final_battery,quadrotor_mean_final_battery,quadrotor_min_final_battery,collision_count,near_miss_count,communication_loss_count,invalid_action_count,detected_targets,inspected_targets,candidate_targets,redundant_coverage_proxy,termination_reason,scenario,seed,baseline,evaluation_mode
0.105,0.0,1.0,0,700,45.199999999999626,54.80000000000253,100.0,100.0,0,0,0,0,2,0,2,0.97,max_steps_reached,0,0,homogeneous_mappo,deterministic
0.105,0.0,1.0,0,700,45.199999999999626,54.80000000000253,100.0,100.0,0,0,0,0,2,0,2,0.97,max_steps_reached,0,1,homogeneous_mappo,deterministic
