update,ablation,scenario,rollout_reward_mean,episode_count,coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,collision_count,invalid_action_count,policy_loss,value_loss,entropy,approx_kl,clip_fraction,mean_action_probability
1,guidance_0_capability_0_safety_0,1,0.015624998264684109,3,0.040625,0.0,0.0,0,117,0,0,-0.0075304037891328335,21.240188598632812,1.7756564617156982,0.0021644250955432653,0.0,0.17177605628967285
2,guidance_0_capability_0_safety_0,1,-0.1485351532137429,5,0.0125,0.0,0.0,0,43,0,0,0.00023750154650770128,8.054811477661133,1.7639033794403076,0.002956826938316226,0.0,0.17264994978904724
3,guidance_0_capability_0_safety_0,1,-0.13322265647002496,10,0.016875,0.0,0.0,0,16,0,0,-0.0014704708009958267,6.399378299713135,1.7572412490844727,0.0017265834612771869,0.0,0.17523601651191711
4,guidance_0_capability_0_safety_0,1,-0.05380859379511094,14,0.044375,0.0,0.0,0,27,0,0,-0.004511886276304722,5.318224906921387,1.7505366802215576,0.0005737841129302979,0.0,0.18141929805278778
5,guidance_0_capability_0_safety_0,1,-0.22849609473269084,21,0.014375,0.0,0.0,0,11,0,0,-0.0006137813325040042,10.798916816711426,1.7418041229248047,0.00039905234007164836,0.0,0.18156956136226654
6,guidance_0_capability_0_safety_0,1,-0.016474608375574462,22,0.109375,0.0,0.125,0,226,0,0,-0.005563934799283743,6.622554779052734,1.7368240356445312,9.437262633582577e-05,0.0,0.18025770783424377
7,guidance_0_capability_0_safety_0,1,-0.10542968749723514,26,0.035625,0.0,0.0,0,136,0,0,-0.004064658656716347,3.0695042610168457,1.7213995456695557,0.001607437850907445,0.0,0.1818377673625946
8,guidance_0_capability_0_safety_0,1,-0.1898242175411724,30,0.014375,0.0,0.0,0,7,0,0,-0.0037257676012814045,7.763269424438477,1.7041763067245483,-0.00015370750043075532,0.0,0.1991133689880371
9,guidance_0_capability_0_safety_0,1,-0.004472657688893378,31,0.0875,0.0,0.125,0,223,0,0,-0.006241799797862768,2.840191125869751,1.6841495037078857,-0.0005285707302391529,0.0,0.20535127818584442
10,guidance_0_capability_0_safety_0,1,-0.03251953002109076,31,0.11,0.0,0.125,0,479,0,0,-0.006684227846562862,0.9320098161697388,1.6844425201416016,0.0006777822854928672,0.0,0.20272600650787354
11,guidance_0_capability_0_safety_0,1,-0.006972657061851351,32,0.08875,0.0,0.0,0,192,0,0,-0.005963011644780636,1.6616733074188232,1.6813769340515137,0.006034961901605129,0.0,0.2133464515209198
12,guidance_0_capability_0_safety_0,1,0.025927733833668754,32,0.173125,0.0,0.125,0,448,0,0,0.00031373341334983706,2.1487679481506348,1.6776776313781738,-0.0014362877700477839,0.0,0.2091325968503952
13,guidance_0_capability_0_safety_0,1,-0.018994141162693268,32,0.1975,0.0,0.125,0,704,0,0,-0.0037937313318252563,0.3727613091468811,1.6662118434906006,0.004560069181025028,0.0,0.20143592357635498
14,guidance_0_capability_0_safety_0,1,0.00496093731635483,32,0.263125,0.0,0.125,0,960,0,0,-0.0036279703490436077,1.1814031600952148,1.6530563831329346,0.00045445593423210084,0.0,0.21108369529247284
15,guidance_0_capability_0_safety_0,1,0.02754882762019406,33,0.06625,0.0,0.125,0,225,0,0,-0.002786108758300543,1.614542007446289,1.591404914855957,-0.00024442095309495926,0.0,0.2419273555278778
16,guidance_0_capability_0_safety_0,1,0.016103515969007276,33,0.143125,0.0,0.125,0,481,0,0,-0.005085461772978306,1.4383411407470703,1.5795321464538574,0.0012683718232437968,0.0,0.23495638370513916
17,guidance_0_capability_0_safety_0,1,-0.025527343685098458,33,0.148125,0.0,0.125,0,737,0,0,-0.0051917447708547115,0.16755905747413635,1.547647476196289,0.00160864123608917,0.0,0.2497316300868988
18,guidance_0_capability_0_safety_0,1,0.11139648290190962,33,0.370625,0.0,0.25,0,993,0,0,-0.0011485300492495298,6.427096843719482,1.5354938507080078,0.003716327017173171,0.0,0.24612703919410706
19,guidance_0_capability_0_safety_0,1,0.09361328035811312,34,0.171875,0.0,0.0,0,249,0,0,-0.00037849321961402893,3.0988736152648926,1.4463963508605957,0.00176564184948802,0.0,0.28348538279533386
20,guidance_0_capability_0_safety_0,1,0.09844726441951934,34,0.3575,0.0,0.25,0,505,0,0,-0.0018105966737493873,8.87295150756836,1.440904974937439,0.0005001573590561748,0.0,0.2904095947742462
21,guidance_0_capability_0_safety_0,1,-0.024775391531875357,34,0.369375,0.0,0.375,0,761,0,0,-0.0014647016068920493,0.9500799775123596,1.4321022033691406,-0.00014203197497408837,0.0,0.29774758219718933
22,guidance_0_capability_0_safety_0,1,0.018964843824505806,35,0.036875,0.0,0.25,0,17,0,0,-0.001367719261907041,2.1274499893188477,1.4320939779281616,0.00031174332252703607,0.0,0.30643969774246216
23,guidance_0_capability_0_safety_0,1,0.03731445302400971,35,0.150625,0.0,0.25,0,273,0,0,-0.002297647763043642,1.2168759107589722,1.3863886594772339,0.001032388536259532,0.0,0.32238131761550903
24,guidance_0_capability_0_safety_0,1,0.06812499865191057,35,0.29125,0.0,0.5,0,529,0,0,-0.002388255437836051,6.606695175170898,1.4223289489746094,0.003003404475748539,0.0,0.30861374735832214
25,guidance_0_capability_0_safety_0,1,0.08687499971711077,35,0.48125,0.0,0.625,0,785,0,0,-0.0017907567089423537,6.639869689941406,1.44527268409729,-0.00048070558113977313,0.0,0.2857259511947632
26,guidance_0_capability_0_safety_0,1,0.05270507573732175,36,0.086875,0.0,0.375,0,41,0,0,-0.0029197861440479755,7.113730430603027,1.4665141105651855,0.0011213193647563457,0.0,0.28019481897354126
27,guidance_0_capability_0_safety_0,1,0.22513671739579877,36,0.44125,0.0,0.875,0,297,0,0,0.0007812936673872173,17.225616455078125,1.4406856298446655,0.00026604332379065454,0.0,0.28687137365341187
28,guidance_0_capability_0_safety_0,1,0.005556640520808287,36,0.52,0.0,0.875,0,553,0,0,-0.004729254636913538,1.2478511333465576,1.447509765625,-0.0014097577659413218,0.0,0.2791867256164551
29,guidance_0_capability_0_safety_0,1,-0.01688476570416242,36,0.563125,0.0,0.875,0,809,0,0,-0.0005934968357905746,0.505621075630188,1.4551948308944702,-0.0014266473008319736,0.0,0.2805546522140503
30,guidance_0_capability_0_safety_0,1,0.0522167967792484,37,0.13,0.0,0.125,0,76,0,0,0.0008803261443972588,4.564090251922607,1.4416344165802002,0.0007497871993109584,0.0,0.2901826500892639
31,guidance_0_capability_0_safety_0,1,0.026435546300490387,37,0.241875,0.0,0.125,0,332,0,0,-0.0066194599494338036,0.9644361734390259,1.4099242687225342,-0.0007297077099792659,0.0,0.29543063044548035
32,guidance_0_capability_0_safety_0,1,-0.04245117197569925,37,0.244375,0.0,0.125,0,588,0,0,0.0028185751289129257,0.7890158891677856,1.3799550533294678,0.0006403432926163077,0.0,0.30647099018096924
33,guidance_0_capability_0_safety_0,1,0.019726562168216333,37,0.328125,0.0,0.25,0,844,0,0,-0.002633668016642332,1.456317663192749,1.380918264389038,-0.00043512354022823274,0.0,0.32630085945129395
34,guidance_0_capability_0_safety_0,1,0.2391015596149373,38,0.19625,0.0,0.5,0,100,0,0,-0.000870690681040287,18.919021606445312,1.3659920692443848,0.0005748457042500377,0.0,0.3304288983345032
35,guidance_0_capability_0_safety_0,1,0.11800781202327926,38,0.41875,0.0,0.75,0,356,0,0,-0.0007436095620505512,5.237347602844238,1.33269202709198,0.0014119157567620277,0.0,0.339085191488266
36,guidance_0_capability_0_safety_0,1,0.042031249598949216,38,0.5575,0.0,0.75,0,612,0,0,-0.0003802360442932695,1.1088969707489014,1.3302239179611206,0.0007575128111056983,0.0,0.342974990606308
37,guidance_0_capability_0_safety_0,1,0.005419921784778126,38,0.61875,0.0,0.875,0,868,0,0,-0.004221527371555567,1.6284500360488892,1.3569183349609375,0.0004919407656416297,0.0,0.3334748446941376
38,guidance_0_capability_0_safety_0,1,0.17792968625144567,39,0.263125,0.0,0.25,0,175,0,0,0.00024829278117977083,10.606745719909668,1.325554370880127,0.0017060966929420829,0.0,0.35485944151878357
39,guidance_0_capability_0_safety_0,1,0.09535156120546162,39,0.468125,0.0,0.375,0,431,0,0,-0.0003794645890593529,4.240813255310059,1.3160312175750732,-8.546856406610459e-05,0.0,0.362053245306015
40,guidance_0_capability_0_safety_0,1,0.00038085918640717864,39,0.54,0.0,0.375,0,687,0,0,-0.003777049947530031,0.6416025757789612,1.3187291622161865,-0.0004198731330689043,0.0,0.36059197783470154
41,guidance_0_capability_0_safety_0,1,0.006464842474088073,39,0.6025,0.0,0.5,0,943,0,0,-0.004955085460096598,1.1217068433761597,1.304991602897644,0.0030661269556730986,0.0,0.36028119921684265
