update,scenario,rollout_reward_mean,episode_count,coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,collision_count,invalid_action_count,policy_loss,value_loss,entropy,approx_kl,clip_fraction
38,1,4.91800126695307,10,0.56625,0.0,0.0,0,910,0,0,-0.0006290723686106503,4591.19091796875,1.0971146821975708,7.935955181892496e-06,0.0
39,1,3.252470359730978,12,0.11625,0.25,0.25,0,158,0,0,-0.001014704816043377,2255.111572265625,1.0694420337677002,-1.667036303842906e-05,0.0
40,1,1.8856220753659727,12,0.479375,0.5,0.75,0,414,0,0,-0.0009776350343599916,323.5736083984375,1.1278891563415527,0.00024720156216062605,0.0
41,1,1.191006305937961,12,0.586875,0.75,0.875,0,670,0,0,-0.00567540293559432,31.84619903564453,1.0139751434326172,-0.0021331303287297487,0.0
42,1,4.468230632133782,12,0.64,0.875,0.875,0,926,0,0,0.0003700063971336931,4420.82958984375,1.0685018301010132,0.0021655429154634476,0.0
43,1,2.6223091257052147,13,0.24375,0.125,0.125,0,182,0,0,-0.001132755191065371,1359.910888671875,0.9890583157539368,0.000751325162127614,0.0
44,1,3.181914451324701,13,0.338125,0.125,0.25,0,438,0,0,-0.00013017158198636025,1789.4844970703125,1.166094183921814,-0.0005379354115575552,0.0
45,1,4.294877156527946,13,0.4125,0.375,0.375,0,694,0,0,-0.0006766307051293552,3817.521240234375,1.1084281206130981,-0.0011000162921845913,0.0
46,1,6.548082370922202,13,0.424375,0.375,0.375,0,950,0,0,0.0005491503397934139,7614.20068359375,0.9720819592475891,-0.00019238493405282497,0.0
47,1,2.4128843744911137,14,0.340625,0.0,0.0,0,206,0,0,-0.0003418388369027525,764.0504150390625,0.9103460311889648,-0.00036499593988992274,0.0
48,1,4.450454846581124,14,0.440625,0.0,0.0,0,462,0,0,0.0004034948942717165,3131.822265625,1.1961994171142578,0.0001719771680654958,0.0
49,1,5.52329306161846,14,0.47625,0.0,0.0,0,718,0,0,-0.00010075699537992477,5093.44482421875,1.1309785842895508,0.00011986066965619102,0.0
50,1,6.6184097439982,14,0.484375,0.0,0.0,0,974,0,0,-0.00011435399210313335,7787.1396484375,1.0148307085037231,-0.0001089779325411655,0.0
51,1,1.42005801940104,15,0.36375,0.0,0.25,0,230,0,0,-0.0011408881982788444,310.37432861328125,0.8306522369384766,-1.0309740900993347e-05,0.0
52,1,2.7547847097666818,15,0.514375,0.25,0.25,0,486,0,0,-0.0005169063806533813,1273.38232421875,1.0350899696350098,-0.00029361722408793867,0.0
53,1,6.63376359699032,15,0.52375,0.25,0.25,0,742,0,0,-0.0005050363834016025,7873.779296875,0.985584557056427,2.9479851946234703e-05,0.0
54,1,5.904308447716176,15,0.52375,0.25,0.25,0,998,0,0,-0.0005943396245129406,5925.583984375,1.0357623100280762,-0.00015877078112680465,0.0
55,1,1.8655240267762565,16,0.31625,0.25,0.375,0,254,0,0,-0.0008543971925973892,404.4388427734375,1.0713287591934204,6.353940261760727e-05,0.0
56,1,6.100716281122004,16,0.525,0.375,0.375,0,510,0,0,-0.00022351711231749505,6531.6533203125,1.0732783079147339,1.5821075066924095e-05,0.0
57,1,6.1274347436847165,16,0.56875,0.375,0.375,0,766,0,0,-0.0006777432863600552,6870.9833984375,1.058195948600769,0.00042815040796995163,0.0
58,1,6.266650125122396,17,0.034375,0.0,0.0,0,22,0,0,-0.0005297139286994934,6460.21826171875,0.9990425705909729,0.00019240821711719036,0.0
59,1,3.560845869506011,17,0.435,0.0,0.125,0,278,0,0,-0.00025393813848495483,2587.68017578125,1.1514972448349,-2.07400880753994e-05,0.0
60,1,1.7894419206349994,17,0.5225,0.25,0.25,0,534,0,0,-0.00042375922203063965,638.27197265625,1.2409498691558838,5.053596760262735e-05,0.0
61,1,4.35149200572414,17,0.576875,0.375,0.375,0,790,0,0,-0.0002908992173615843,3863.0146484375,1.0857479572296143,-7.228498725453392e-05,0.0
62,1,4.140002436659415,18,0.025,0.0,0.0,0,46,0,0,-0.000297042221063748,3073.64306640625,1.0672684907913208,0.00022771682415623218,0.0
63,1,1.6277908920455957,18,0.328125,0.25,0.25,0,302,0,0,-0.00087074312614277,160.7510986328125,1.0976072549819946,-0.0005731840501539409,0.0
64,1,6.728822290679091,18,0.393125,0.25,0.25,0,558,0,0,-0.0004111121816094965,8520.5224609375,1.0233721733093262,-9.817001409828663e-05,0.0
65,1,6.610181376396213,18,0.395,0.25,0.25,0,814,0,0,-7.077803456922993e-05,7787.49755859375,0.9695919156074524,0.00043256301432847977,0.0
66,1,5.305400737022865,19,0.15375,0.0,0.0,0,70,0,0,-0.00016551961016375571,6255.1298828125,0.87120121717453,-0.00015903652820270509,0.0
67,1,0.04589192815183196,19,0.278125,0.0,0.0,0,326,0,0,-0.0005029113963246346,308.8943786621094,0.7606604695320129,0.00017959873366635293,0.0
68,1,0.7674012012575986,19,0.50125,0.0,0.375,0,582,0,0,-0.0007823196356184781,217.30712890625,0.8451259732246399,-9.289104491472244e-05,0.0
69,1,1.977447657722223,19,0.67,0.5,0.625,0,838,0,0,-6.756434686394641e-06,487.29443359375,1.0612735748291016,8.038935629883781e-05,0.0
70,1,2.2122972948054667,20,0.2125,0.25,0.25,0,94,0,0,-0.0016899984329938889,540.7637939453125,1.100999355316162,-0.0008190511725842953,0.0
71,1,1.7321757869503926,20,0.523125,0.375,0.5,0,350,0,0,-0.0025788818020373583,317.00323486328125,1.0521680116653442,-0.00022435181017499417,0.0
72,1,3.103985227571684,20,0.6275,0.75,0.75,0,606,0,0,-0.00021191562700551003,1657.8885498046875,1.1298813819885254,-0.0013950405409559608,0.0
73,1,7.269733240435016,20,0.70125,0.75,0.75,0,862,0,0,-5.8688223361968994e-05,9654.052734375,0.8672614693641663,0.0005933533539064229,0.0
74,1,4.48673810960463,21,0.2125,0.0,0.125,0,118,0,0,0.000387570500606671,3562.402099609375,1.0335947275161743,-0.00021195015870034695,0.0
75,1,4.500485618598759,21,0.385625,0.125,0.125,0,374,0,0,-7.098168134689331e-05,4270.83203125,1.1181002855300903,0.00017561398271936923,0.0
76,1,6.597470475069713,21,0.399375,0.125,0.125,0,630,0,0,-0.000363936647772789,7572.3330078125,1.0151458978652954,2.9655717298737727e-05,0.0
77,1,3.3961381308035925,21,0.56875,0.25,0.25,0,886,0,0,-0.00023165407765191048,1982.218994140625,1.0577894449234009,0.0002961441350635141,0.0
78,1,3.6601579723937903,22,0.265625,0.0,0.125,0,142,0,0,-0.00020281101751606911,3242.974609375,0.8852761387825012,-3.382830254849978e-05,0.0
79,1,2.1492885554707755,22,0.43625,0.375,0.375,0,398,0,0,-0.0006093581323511899,730.23095703125,1.1299909353256226,0.0002785727847367525,0.0
80,1,5.474367159913527,22,0.4775,0.375,0.375,0,654,0,0,-0.0002581104636192322,5532.580078125,0.9473965764045715,7.573654875159264e-05,0.0
81,1,4.63385547058715,22,0.5375,0.5,0.5,0,910,0,0,0.0001368907542200759,4590.14013671875,1.0488539934158325,-0.00025462787016294897,0.0
82,1,2.726034457635251,23,0.325625,0.0,0.0,0,166,0,0,-0.0003983365895692259,2387.601318359375,0.8551170229911804,0.00016938925546128303,0.0
83,1,0.1392330370581476,23,0.4375,0.0,0.0,0,422,0,0,-0.00016890217375475913,283.8895263671875,0.8759921193122864,4.3879106669919565e-05,0.0
84,1,2.702698775139652,23,0.471875,0.0,0.0,0,678,0,0,-0.0002839118242263794,1894.6275634765625,0.9820621609687805,0.0002939139085356146,0.0
85,1,1.804956577361736,24,0.23875,0.0,0.0,0,195,0,0,-0.0006968329544179142,1582.880615234375,0.8914925456047058,0.0011838722275570035,0.0
86,1,0.33917711082904134,24,0.45375,0.0,0.125,0,451,0,0,0.0001383647322654724,235.8463592529297,0.9298251271247864,-0.0005031161126680672,0.0
87,1,1.6875318720412906,24,0.66,0.25,0.25,0,707,0,0,-0.0011661226162686944,482.1244812011719,1.0661333799362183,0.0008898908272385597,0.0
88,1,6.670420237700455,24,0.671875,0.25,0.25,0,963,0,0,-0.0002036529331235215,8558.578125,0.8148855566978455,-0.00013982078235130757,0.0
89,1,2.340450706979027,25,0.315,0.25,0.25,0,219,0,0,-0.0005162814632058144,667.8601684570312,1.1541274785995483,0.0002858146617654711,0.0
90,1,2.865907343068102,25,0.424375,0.5,0.5,0,475,0,0,-0.0004376197757665068,1210.442626953125,1.0563453435897827,0.0001765625347616151,0.0
91,1,3.877221264599939,25,0.515625,0.625,0.625,0,731,0,0,-7.443347567459568e-05,3010.02978515625,1.0995928049087524,6.71454836265184e-05,0.0
92,1,2.01345097302692,27,0.0275,0.0,0.0,0,88,0,0,-0.0007856525480747223,2550.27197265625,1.1501827239990234,0.00010076072067022324,0.0
93,1,2.368027798831463,27,0.439375,0.125,0.375,0,344,0,0,-0.001126826391555369,924.7880859375,1.103373408317566,0.000724512618035078,0.0
94,1,3.1955315021405113,27,0.62875,0.375,0.625,0,600,0,0,0.00023097296070773154,2485.602783203125,1.117735743522644,8.915612852433696e-05,0.0
95,1,4.902298530825647,27,0.701875,0.625,0.625,0,856,0,0,0.0001024006269290112,4811.9521484375,1.028714656829834,0.0001597418449819088,0.0
96,1,2.533766330430808,28,0.244375,0.0,0.0,0,112,0,0,-0.00026247152709402144,1732.398193359375,0.9657947421073914,0.00019166602578479797,0.0
97,1,0.7409972084715264,28,0.37375,0.0,0.0,0,368,0,0,-0.001136772334575653,145.41058349609375,0.9769637584686279,-0.00046567103709094226,0.0
98,1,2.6102950233907904,28,0.584375,0.25,0.25,0,624,0,0,-0.0006278331275098026,1049.92431640625,1.1391782760620117,0.0001490091235609725,0.0
99,1,5.286400882003363,28,0.66,0.25,0.375,0,880,0,0,-4.423658174346201e-05,6536.95849609375,0.9475715756416321,4.035203528474085e-05,0.0
100,1,3.7034914358628157,29,0.211875,0.125,0.125,0,136,0,0,-0.00025760880089364946,3469.85986328125,1.134112000465393,-7.690469647059217e-05,0.0
101,1,1.8440986664500087,29,0.553125,0.25,0.375,0,392,0,0,-0.00047355020069517195,522.966796875,0.9760639071464539,-8.033736230572686e-05,0.0
102,1,5.611406320414972,29,0.738125,0.375,0.375,0,648,0,0,6.855279207229614e-05,6667.78662109375,0.9962013363838196,0.00016122560191433877,0.0
103,1,6.827236281795194,29,0.75625,0.375,0.375,0,904,0,0,-0.00016954790044110268,8278.751953125,0.9248062968254089,-0.0001785319036571309,0.0
104,1,3.3684970016329316,30,0.37375,0.125,0.625,0,160,0,0,-0.0004778116417583078,2571.734619140625,0.9727889895439148,0.00044646221795119345,0.0
105,1,1.0254924874971039,30,0.568125,0.625,0.625,0,416,0,0,-0.00154545356053859,144.16558837890625,1.3096126317977905,0.0001456686295568943,0.0
106,1,4.256217928021215,30,0.656875,0.75,0.75,0,672,0,0,1.3999640941619873e-05,4550.76123046875,1.0501582622528076,0.0008701581973582506,0.0
107,1,3.265957574825734,32,0.14625,0.0,0.0,0,74,0,0,-0.00023566496383864433,2362.4072265625,1.065843939781189,8.136569522321224e-05,0.0
108,1,1.4624918163463008,32,0.548125,0.25,0.5,0,330,0,0,-0.0010196635266765952,151.48626708984375,0.9967546463012695,-5.69798658034415e-06,0.0
109,1,1.2637478166811889,32,0.69625,0.625,0.75,0,586,0,0,-0.0027183350175619125,253.60076904296875,1.228000521659851,-0.0005030867760069668,0.0
110,1,6.065005422511604,32,0.7425,0.75,0.75,0,842,0,0,0.0011170258512720466,7320.58544921875,0.9089112281799316,0.0003060440067201853,0.0
111,1,2.9931846884428523,33,0.23,0.0,0.125,0,98,0,0,0.0009791497141122818,2002.1512451171875,1.0617190599441528,-0.0003902666794601828,0.0
112,1,0.99533698945379,33,0.40625,0.375,0.375,0,354,0,0,-0.006607912480831146,93.564208984375,1.3016234636306763,-0.0007479151245206594,0.0
113,1,2.305654652780504,33,0.489375,0.5,0.625,0,610,0,0,0.00048386925482191145,1300.765380859375,1.172171711921692,0.0019525326788425446,0.009114583022892475
114,1,6.614234845910687,33,0.593125,0.625,0.625,0,866,0,0,9.044011676451191e-05,8563.041015625,0.8797264099121094,0.00017347047105431557,0.0
115,1,2.6435545478598215,34,0.2575,0.0,0.125,0,122,0,0,-0.002617854392156005,1482.311279296875,1.0648826360702515,0.0009279281948693097,0.0
116,1,3.6739868570730323,34,0.423125,0.25,0.25,0,378,0,0,0.0008835084736347198,2741.128173828125,1.1499468088150024,0.00196982454508543,0.0
117,1,6.374089031945914,34,0.4575,0.25,0.25,0,634,0,0,0.0006937719881534576,7077.775390625,0.9518189430236816,-0.0002952922077383846,0.0
118,1,7.188618725223932,34,0.4575,0.25,0.25,0,890,0,0,3.575037044356577e-05,9413.7607421875,0.8911805152893066,0.00021780934184789658,0.0
119,1,3.8069289668528654,35,0.26125,0.375,0.5,0,146,0,0,-8.817141497274861e-05,1820.9970703125,1.0293961763381958,0.00028627156279981136,0.0
120,1,3.216834004406792,35,0.4125,0.5,0.5,0,402,0,0,-2.197797039116267e-05,1997.6697998046875,1.1116604804992676,-3.9966387703316286e-05,0.0
121,1,6.4496285529312445,35,0.478125,0.5,0.5,0,658,0,0,-0.0002133821399183944,7532.94091796875,0.94300776720047,9.582548955222592e-05,0.0
122,1,6.283129018891486,35,0.535,0.5,0.5,0,914,0,0,-0.00022450431424658746,7050.1953125,0.9507918953895569,-0.00011320342309772968,0.0
123,1,4.2459041208494455,36,0.211875,0.25,0.25,0,170,0,0,4.1605282603995875e-05,2690.87548828125,0.9701316952705383,9.532269177725539e-05,0.0
124,1,4.1073600834643,36,0.335,0.25,0.375,0,426,0,0,-0.00016835704445838928,3270.934814453125,1.1438345909118652,3.2544758141739294e-05,0.0
125,1,6.528657182712777,36,0.5175,0.375,0.375,0,682,0,0,-0.00016181233513634652,7666.7490234375,0.9726147651672363,7.360521703958511e-05,0.0
126,1,7.231982977842563,36,0.52625,0.375,0.375,0,938,0,0,-0.00011468306183815002,9501.11328125,0.8781406283378601,-0.00015031189832370728,0.0
127,1,1.965914582284313,37,0.11125,0.25,0.25,0,194,0,0,-0.001553299487568438,1033.8046875,1.190090298652649,0.0006455305847339332,0.0
128,1,1.7288682815706125,38,0.155625,0.0,0.0,0,137,0,0,-0.004849797580391169,1406.213134765625,1.0461591482162476,-0.0006245525437407196,0.0
129,1,2.086469918656803,38,0.46,0.25,0.5,0,393,0,0,-0.0008838513749651611,459.4671630859375,1.157286524772644,0.006890790071338415,0.0052083334885537624
130,1,4.193495193787385,38,0.615,0.5,0.5,0,649,0,0,0.001122940331697464,3637.237548828125,0.9866973757743835,0.0013713556108996272,0.0
131,1,3.1315663428267726,38,0.675625,0.625,0.75,0,905,0,0,-0.0005911228363402188,1867.0960693359375,1.1745356321334839,0.001535544521175325,0.0
132,1,1.7336427279042255,39,0.23,0.375,0.5,0,161,0,0,-0.0008726408705115318,1046.0921630859375,1.1615902185440063,0.00046886480413377285,0.0
133,1,1.580035423670779,39,0.490625,0.75,0.75,0,417,0,0,-0.0009217687766067684,224.14898681640625,1.124263048171997,-0.0003946938959416002,0.0
134,1,2.87332929995182,39,0.50375,0.75,0.75,0,673,0,0,-0.002385248662903905,1660.1182861328125,1.2290295362472534,-8.55602920637466e-05,0.0
135,1,7.524342785938643,39,0.525625,0.75,0.75,0,929,0,0,0.000513758510351181,10329.2001953125,0.7905977368354797,-0.0005240947939455509,0.0
136,1,2.491717110387981,40,0.154375,0.125,0.125,0,185,0,0,-0.0005067512392997742,1836.263671875,1.0476126670837402,-0.00038190349005162716,0.0
137,1,2.5451131719692057,40,0.285,0.25,0.25,0,441,0,0,-0.0006265758420340717,1018.8154907226562,1.2225185632705688,-0.00010249981278320774,0.0
138,1,6.200512688286835,40,0.285,0.25,0.25,0,697,0,0,-0.0005671580438502133,7285.12890625,0.9362297058105469,0.00016120293003041297,0.0
139,1,6.244779676824692,40,0.448125,0.25,0.25,0,953,0,0,-0.00038321843021549284,6984.19677734375,0.9560756683349609,-0.00013638070959132165,0.0
140,1,1.7991044447699096,41,0.3475,0.0,0.125,0,209,0,0,-0.0016680522821843624,899.0504150390625,0.9644899368286133,0.0005610369262285531,0.0
141,1,1.4239288547523756,41,0.55375,0.5,0.5,0,465,0,0,-0.005562351550906897,184.39852905273438,1.2446086406707764,-7.001023186603561e-05,0.0
142,1,5.485433084657416,41,0.570625,0.5,0.5,0,721,0,0,-0.0015869321068748832,6442.263671875,0.8540781140327454,-0.0022666419390589,0.0
143,1,7.675172053917777,41,0.633125,0.5,0.5,0,977,0,0,-0.00018561507749836892,10934.7451171875,0.7261037230491638,-6.846307314845035e-06,0.0
144,1,2.4691117231268436,42,0.26125,0.0,0.125,0,233,0,0,-0.00024398912501055747,690.0762329101562,1.1235400438308716,0.0006041761371307075,0.0
145,1,1.3786787264743907,42,0.4475,0.375,0.5,0,489,0,0,-0.0022804662585258484,115.0838623046875,1.0410900115966797,0.0002251937985420227,0.0
146,1,1.1614053612988755,43,0.235,0.0,0.0,0,99,0,0,-0.0012015259126201272,980.1115112304688,1.1773128509521484,-0.00345020298846066,0.0
147,1,3.693562946136808,43,0.493125,0.125,0.5,0,355,0,0,-0.00140956521499902,2573.666015625,1.001090168952942,0.0005300917546264827,0.0
148,1,2.6520009144733194,43,0.54625,0.5,0.5,0,611,0,0,-0.00020912785839755088,1762.4515380859375,1.1401156187057495,-0.00031041158945299685,0.0
149,1,7.69409423446632,43,0.54875,0.5,0.5,0,867,0,0,-0.00017499178647994995,10924.9521484375,0.7311835289001465,-6.912012031534687e-05,0.0
150,1,4.192554128290794,44,0.251875,0.0,0.0,0,123,0,0,-5.216151475906372e-05,4855.38427734375,0.8462006449699402,-4.509929567575455e-05,0.0
151,1,0.9522711196477758,44,0.545625,0.125,0.25,0,379,0,0,-0.002229347126558423,93.62397003173828,1.074302315711975,0.0013543274253606796,0.0
152,1,1.3570452845524414,44,0.69125,0.5,0.625,0,635,0,0,-0.001119702123105526,74.30010223388672,1.0803496837615967,-0.000370111403753981,0.0
153,1,3.3203044882102404,44,0.7125,0.625,0.625,0,891,0,0,-5.460033662529895e-06,2927.631591796875,1.050308346748352,-0.0010455077281221747,0.0
154,1,3.736973587569082,45,0.275625,0.0,0.0,0,147,0,0,-0.00025381147861480713,3747.59423828125,0.8305454254150391,0.0006023129099048674,0.0
155,1,2.109051419651223,45,0.470625,0.25,0.25,0,403,0,0,-0.0007045517559163272,650.593994140625,1.07671058177948,0.00016882410272955894,0.0
156,1,7.404680290259421,45,0.48625,0.25,0.25,0,659,0,0,-0.000112683825136628,10093.5244140625,0.780177652835846,0.00020959445100743324,0.0
157,1,7.538934160606004,45,0.503125,0.25,0.25,0,915,0,0,-4.312396049499512e-05,10380.7734375,0.7342087626457214,8.971399074653164e-05,0.0
158,1,3.974407836969476,46,0.296875,0.0,0.125,0,171,0,0,-9.550402319291607e-05,2733.432373046875,1.033117413520813,4.629356044461019e-05,0.0
159,1,5.989812595100375,46,0.425,0.125,0.125,0,427,0,0,2.877941915357951e-05,7280.17626953125,0.9461381435394287,2.748255383266951e-06,0.0
160,1,7.117118460868369,46,0.47,0.125,0.125,0,683,0,0,-0.00015089164662640542,9153.7333984375,0.8498438000679016,3.5304808989167213e-05,0.0
161,1,6.94171011014987,46,0.480625,0.125,0.125,0,939,0,0,-0.00016799569129943848,8582.619140625,0.8516254425048828,5.439319647848606e-05,0.0
162,1,2.0530133740321617,47,0.328125,0.0,0.25,0,195,0,0,-0.0011610807850956917,1200.6849365234375,0.9436075091362,-0.0001800491736503318,0.0
163,1,1.3929177144455025,47,0.51125,0.25,0.25,0,451,0,0,-0.0018391646444797516,158.42176818847656,1.0974067449569702,0.0012472454691305757,0.0
164,1,6.081351123360946,47,0.609375,0.25,0.25,0,707,0,0,0.00014960549015086144,7142.72265625,0.845728874206543,0.00024012273934204131,0.0
165,1,7.189678098628065,47,0.63,0.25,0.25,0,963,0,0,0.00020895774650853127,9961.986328125,0.789927065372467,0.0005962935392744839,0.0
166,1,2.4478880751266843,48,0.288125,0.25,0.375,0,219,0,0,-0.0006958059966564178,738.959228515625,1.0009547472000122,0.0006646136753261089,0.0
167,1,3.822496531123761,48,0.438125,0.5,0.5,0,475,0,0,-0.0010449091205373406,2955.1796875,1.1066733598709106,0.0009667965932749212,0.0
168,1,7.085021203791257,48,0.464375,0.5,0.5,0,731,0,0,8.814440661808476e-05,9561.564453125,0.8489015102386475,-3.788566027651541e-05,0.0
169,1,3.2947208529076306,49,0.23,0.0,0.0,0,103,0,0,-0.00024667754769325256,4186.4853515625,0.9075661301612854,0.0003595763409975916,0.0
170,1,1.2379815484891878,49,0.51625,0.25,0.25,0,359,0,0,-0.0040735360234975815,84.4552993774414,1.1169265508651733,8.52708108141087e-05,0.0
171,1,2.5910684954651515,50,0.115,0.0,0.125,0,52,0,0,0.0003808028995990753,1655.1885986328125,1.024311900138855,0.0004942466621287167,0.0026041667442768812
172,1,1.3091093767957318,51,0.291875,0.25,0.25,0,164,0,0,-0.0007353660766966641,930.0302734375,1.1949620246887207,0.001209738664329052,0.0
173,1,4.043060704992968,51,0.54375,0.375,0.5,0,420,0,0,0.0003241816011723131,3842.172607421875,1.0204380750656128,0.0003621825890149921,0.0
174,1,6.95319712680066,51,0.56125,0.5,0.5,0,676,0,0,-0.00011651776731014252,9265.615234375,0.8685295581817627,0.00019431921828072518,0.0
175,1,3.124483030398551,51,0.689375,0.75,0.75,0,932,0,0,0.0003152719291392714,2289.85302734375,1.0229307413101196,0.00012009652709821239,0.0
176,1,1.7377212791568581,52,0.25375,0.125,0.25,0,188,0,0,-0.006056659389287233,378.7016296386719,1.1889970302581787,-0.0003054492699448019,0.0026041667442768812
177,1,6.029104989924235,52,0.343125,0.25,0.25,0,444,0,0,-0.0022898351307958364,7211.0390625,0.9091487526893616,0.0005358962225727737,0.0
178,1,3.61453913297737,53,0.24125,0.125,0.375,0,164,0,0,-0.0012745385756716132,2675.832275390625,0.8577443957328796,0.0012406808091327548,0.0
