coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,total_energy_consumption,fixedwing_final_battery,quadrotor_mean_final_battery,quadrotor_min_final_battery,collision_count,near_miss_count,communication_loss_count,invalid_action_count,detected_targets,inspected_targets,candidate_targets,redundant_coverage_proxy,termination_reason,quadrotor_hover_inspect_count,quadrotor_valid_hover_inspect_count,quadrotor_invalid_hover_inspect_count,mean_distance_to_candidate,time_in_candidate_range,scenario,seed,target_distribution,communication_radius,communication_mode,baseline
0.82,1.0,1.0,1,512,115.74999999999737,74.40000000000146,54.92500000000184,54.45000000000181,0,19,12,0,8,8,12,0.14583333333333334,all_targets_inspected,160,160,0,374.13295540263596,160,1,0,uniform,1200.0,hard,hierarchical_task_allocation
0.835,0.875,0.875,0,1000,155.80000000000078,50.00000000000284,47.100000000001785,47.00000000000175,0,7,329,0,7,7,14,0.5546666666666666,max_steps_reached,818,818,0,212.32289612167926,818,1,1,uniform,1200.0,hard,hierarchical_task_allocation
0.718125,1.0,1.0,1,422,101.29999999999818,78.9000000000012,59.90000000000194,59.550000000001894,0,0,0,0,8,8,12,0.0924170616113744,all_targets_inspected,73,73,0,429.29056217765697,73,1,2,uniform,1200.0,hard,hierarchical_task_allocation
0.836875,1.0,1.0,1,687,151.89999999999685,65.65000000000195,41.22500000000159,36.00000000000164,0,0,6,0,8,8,14,0.35031538088306646,all_targets_inspected,265,265,0,403.86927251960566,265,1,3,uniform,1200.0,hard,hierarchical_task_allocation
0.85,0.875,0.875,0,1000,198.34999999999948,50.00000000000284,25.825000000001552,25.35000000000155,0,0,21,0,7,7,18,0.5466666666666666,max_steps_reached,575,575,0,327.0541946460201,575,1,4,uniform,1200.0,hard,hierarchical_task_allocation
0.855625,1.0,1.0,1,805,183.8499999999967,59.75000000000229,28.200000000001413,26.400000000001363,0,0,62,0,8,8,20,0.4331262939958592,all_targets_inspected,228,228,0,418.78290527112614,228,1,5,uniform,1200.0,hard,hierarchical_task_allocation
0.860625,0.875,0.875,0,1000,191.94999999999933,50.00000000000284,29.025000000001466,27.100000000001472,0,53,79,0,7,7,15,0.541,max_steps_reached,669,669,0,335.938530265568,669,1,6,uniform,1200.0,hard,hierarchical_task_allocation
0.835625,0.75,0.75,0,1000,186.40000000000035,50.00000000000284,31.80000000000156,29.450000000001594,0,0,288,0,6,6,10,0.5543333333333333,max_steps_reached,491,491,0,359.7459247366007,491,1,7,uniform,1200.0,hard,hierarchical_task_allocation
0.84625,0.75,0.75,0,1000,174.95000000000093,50.00000000000284,37.52500000000171,27.850000000001558,0,0,27,0,6,6,9,0.5486666666666666,max_steps_reached,813,813,0,182.942996506463,813,1,8,uniform,1200.0,hard,hierarchical_task_allocation
0.84125,0.875,0.875,0,1000,170.55000000000132,50.00000000000284,39.72500000000173,38.90000000000173,0,0,0,0,7,7,14,0.5513333333333333,max_steps_reached,860,860,0,249.9330787814677,860,1,9,uniform,1200.0,hard,hierarchical_task_allocation
