target,inspected_step,inspector,x,y
T0,205,quadrotor_0,1120.450309982857,875.339461882334
T3,413,quadrotor_0,1674.3382803019679,1637.289156748496
T7,451,quadrotor_0,1825.5408959159565,1872.972977949906
T2,861,quadrotor_0,1218.7162690852228,138.97900572887892
