baseline,scenario,coverage_ratio_mean,inspection_success_rate_mean,target_detection_rate_mean,mission_success_mean,mission_time_mean,total_energy_consumption_mean,collision_count_mean,invalid_action_count_mean
rule_based_v2,0,0.13916666666666666,1.0,1.0,1.0,23.333333333333332,3.849999999999999,0.0,0.0
random_masked,0,0.164,0.4,0.95,0.0,310.3,51.81999999999909,0.7,0.0
homogeneous_mappo_deterministic,0,0.165,0.0,1.0,0.0,700.0,41.19999999999978,0.0,0.0
