target_distribution,communication_radius,communication_mode,episodes,coverage_ratio_mean,coverage_ratio_std,inspection_success_rate_mean,inspection_success_rate_std,target_detection_rate_mean,target_detection_rate_std,mission_success_mean,mission_success_std,mission_time_mean,mission_time_std,total_energy_consumption_mean,total_energy_consumption_std,collision_count_mean,collision_count_std,near_miss_count_mean,near_miss_count_std,communication_loss_count_mean,communication_loss_count_std,invalid_action_count_mean,invalid_action_count_std,detected_targets_mean,detected_targets_std,inspected_targets_mean,inspected_targets_std,quadrotor_invalid_hover_inspect_count_mean,quadrotor_invalid_hover_inspect_count_std
clustered,400.0,hard,10,0.5510625,0.26090654756540704,0.025,0.052704627669472995,0.55,0.40909792362111924,0.0,0.0,499.6,378.565185932357,121.40999999999886,97.02277453143395,0.7,0.48304589153964794,123.0,183.3909000529258,436.0,369.53243730723045,0.0,0.0,4.4,3.272783388968954,0.2,0.42163702135578396,0.0,0.0
clustered,800.0,hard,10,0.8129375,0.050302945089947,0.6625,0.21286732957408,0.9625,0.06038073644245599,0.2,0.42163702135578396,633.2,178.53465272103963,144.80999999999725,38.36043824335437,0.7,0.48304589153964794,55.5,33.31749623779608,273.3,101.09736780835482,0.0,0.0,7.7,0.48304589153964794,5.3,1.70293863659264,0.0,0.0
clustered,1200.0,hard,10,0.801,0.05575803380081951,0.9875,0.03952847075210474,0.975,0.05270462766947299,0.9,0.31622776601683794,579.5,186.77749686012322,118.96999999999807,30.18010934373854,0.0,0.0,3.3,6.272515001532036,12.9,26.12980418347345,0.0,0.0,7.8,0.4216370213557839,7.9,0.31622776601683794,0.0,0.0
edge,400.0,hard,10,0.825125,0.028564923614655627,0.075,0.10540925533894598,0.7375,0.16083549221348986,0.0,0.0,835.0,220.0262610588917,208.58999999999736,55.155743127983,0.4,0.5163977794943222,415.4,213.76685118761202,908.2,437.7205602766323,0.0,0.0,5.9,1.286683937707919,0.6,0.8432740427115678,0.0,0.0
edge,800.0,hard,10,0.861375,0.012422677516005416,0.375,0.11785113019775792,0.7875,0.13241873818392252,0.0,0.0,966.7,105.30384608360703,226.84999999999724,35.49034297445563,0.1,0.31622776601683794,92.8,149.85237179749052,593.2,114.71588091163896,0.0,0.0,6.3,1.0593499054713802,3.0,0.9428090415820634,0.0,0.0
edge,1200.0,hard,10,0.85875,0.012903218806001681,0.7625,0.13756311682682648,0.775,0.1536590742882148,0.1,0.31622776601683794,997.3,8.538149682454623,201.9349999999984,21.92714008306134,0.0,0.0,10.5,30.786901976868887,115.6,70.11926348095159,0.0,0.0,6.2,1.2292725943057183,6.1,1.1005049346146119,0.0,0.0
uniform,400.0,hard,10,0.83475,0.0080590270297764,0.1125,0.12430361575146916,0.9,0.09860132971832694,0.0,0.0,913.6,185.11209816997075,227.6499999999973,46.831814922004845,0.2,0.42163702135578396,206.1,228.8315489126833,1091.3,393.37091628357297,0.0,0.0,7.2,0.7888106377466155,0.9,0.9944289260117533,0.0,0.0
uniform,800.0,hard,10,0.810125,0.1461908712380268,0.7,0.20581815058714115,0.8625,0.12430361575146916,0.2,0.42163702135578396,856.6,245.7366250457772,206.34999999999752,57.4480393244377,0.2,0.42163702135578396,54.1,91.87122630193973,401.5,167.34744296423136,0.0,0.0,6.9,0.9944289260117533,5.6,1.6465452046971292,0.0,0.0
uniform,1200.0,hard,10,0.8299375,0.040967519739558436,0.9,0.09860132971832694,0.9,0.09860132971832694,0.4,0.5163977794943222,842.6,226.19421350295903,163.07999999999913,32.46237309049831,0.0,0.0,7.9,16.9800536578134,82.4,122.34850042217745,0.0,0.0,7.2,0.7888106377466155,7.2,0.7888106377466155,0.0,0.0
