update,scenario,env_mode,rollout_reward_mean,episode_count,coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,collision_count,invalid_action_count,policy_loss,value_loss,entropy,approx_kl,clip_fraction
37,1,assignment_aware,4.6521111218517035,9,0.69875,0.25,0.25,0,776,0,0,0.0004588987212628126,6004.4150390625,0.9157593846321106,0.010302738286554813,0.0950520858168602
38,1,assignment_aware,7.179208991983614,10,0.07625,0.0,0.0,0,32,0,0,-0.0016793222166597843,10251.765625,0.48678159713745117,0.0008107307367026806,0.0
39,1,assignment_aware,0.3531218464777339,10,0.345625,0.0,0.25,0,288,0,0,-0.00019269948825240135,267.0347595214844,0.5106173157691956,-0.0003053913824260235,0.00390625
40,1,assignment_aware,1.6922109732913668,10,0.72625,0.5,0.625,0,544,0,0,-0.012313290499150753,99.64592742919922,1.0750728845596313,0.008588756434619427,0.1341145783662796
41,1,assignment_aware,4.732550014425215,10,0.768125,0.625,0.625,0,800,0,0,0.0018873601220548153,5434.27978515625,0.8956332206726074,0.0008296982850879431,0.009114583022892475
42,1,assignment_aware,6.933200640349241,11,0.13625,0.0,0.25,0,56,0,0,0.00046567805111408234,9008.0927734375,0.59272700548172,0.00198134477250278,0.0
43,1,assignment_aware,1.2342354401334887,12,0.26,0.125,0.125,0,119,0,0,-0.004088273271918297,1080.9071044921875,1.0855557918548584,0.003878062590956688,0.02213541604578495
44,1,assignment_aware,2.3927168592927046,12,0.41375,0.25,0.5,0,375,0,0,-0.0005370494909584522,829.310791015625,0.9101221561431885,0.0030514143873006105,0.0
45,1,assignment_aware,2.5274629130017274,12,0.50625,0.625,0.625,0,631,0,0,-0.0034087463282048702,1096.070556640625,1.1677950620651245,0.0027941421139985323,0.0
46,1,assignment_aware,8.179267596453428,12,0.56125,0.625,0.625,0,887,0,0,-1.7354264855384827e-05,12525.7685546875,0.49745437502861023,-0.0005094376392662525,0.0
47,1,assignment_aware,4.371797747900018,13,0.29875,0.125,0.125,0,143,0,0,0.0002725636586546898,4360.0966796875,0.7623474597930908,0.0011395174078643322,0.0
48,1,assignment_aware,2.5251534306735266,13,0.41375,0.25,0.25,0,399,0,0,9.565730579197407e-05,1260.00830078125,1.0752817392349243,0.0018627597019076347,0.0026041667442768812
49,1,assignment_aware,6.705297359905671,13,0.44625,0.25,0.25,0,655,0,0,-0.001626724610105157,9014.046875,0.6727848052978516,0.0016197558725252748,0.009114583022892475
50,1,assignment_aware,8.12614894285798,13,0.44625,0.25,0.25,0,911,0,0,7.729977369308472e-08,12326.0625,0.4997594356536865,0.0004827580414712429,0.0
51,1,assignment_aware,4.08360276298481,14,0.425,0.125,0.5,0,167,0,0,-0.000508524477481842,3354.7578125,0.6780185699462891,-0.0005219236481934786,0.0
52,1,assignment_aware,1.102940939558266,15,0.226875,0.0,0.125,0,128,0,0,-0.00016061216592788696,857.1688842773438,0.9156147837638855,0.00035030822618864477,0.0
53,1,assignment_aware,1.243390083895065,15,0.53875,0.125,0.375,0,384,0,0,-0.004348748829215765,86.02182006835938,1.0744701623916626,-0.0021794128697365522,0.0
54,1,assignment_aware,2.509665159424003,15,0.565625,0.375,0.375,0,640,0,0,-0.007410491816699505,1021.3930053710938,1.1034892797470093,0.0023308147210627794,0.1002604141831398
55,1,assignment_aware,7.330823724158108,15,0.565625,0.375,0.375,0,896,0,0,2.2910535335540771e-07,10614.98828125,0.5716376900672913,0.0020220621954649687,0.03515625
56,1,assignment_aware,3.7069349119847175,16,0.293125,0.0,0.125,0,152,0,0,0.00026150140911340714,3807.41064453125,0.8251816630363464,0.0001748676149873063,0.0
57,1,assignment_aware,3.281108081137063,16,0.41125,0.125,0.125,0,408,0,0,0.00018085422925651073,2568.061767578125,1.0157285928726196,0.0001472954172641039,0.0
58,1,assignment_aware,3.8851109542665654,16,0.5,0.25,0.25,0,664,0,0,-0.007906983606517315,4114.21484375,0.9319003224372864,0.0034544868394732475,0.00390625
59,1,assignment_aware,7.833800736931153,17,0.076875,0.0,0.0,0,33,0,0,-0.0014342446811497211,10508.501953125,0.4750499427318573,-0.00023726125073153526,0.0
60,1,assignment_aware,4.066665120306425,17,0.355,0.0,0.125,0,289,0,0,-0.008454011753201485,4880.025390625,0.8035423755645752,0.0006564503419212997,0.0078125
61,1,assignment_aware,6.611777711877949,17,0.35625,0.125,0.125,0,545,0,0,-0.001120320986956358,8998.931640625,0.6648443341255188,0.008736740797758102,0.0651041641831398
62,1,assignment_aware,8.174508407711983,17,0.410625,0.125,0.125,0,801,0,0,-0.001483268104493618,12464.09765625,0.44974589347839355,-0.0005799753707833588,0.0
63,1,assignment_aware,6.705475091912376,18,0.134375,0.0,0.125,0,57,0,0,-0.0028708293102681637,8849.611328125,0.5785948634147644,0.004626692738384008,0.01953125
64,1,assignment_aware,1.2009309330460383,18,0.409375,0.25,0.25,0,313,0,0,-0.000703965313732624,130.79466247558594,1.157974123954773,-0.0006852642982266843,0.0
65,1,assignment_aware,3.041063958709856,19,0.265,0.0,0.25,0,101,0,0,-0.002983100712299347,2757.10400390625,0.8567404747009277,0.005604804027825594,0.0026041667442768812
66,1,assignment_aware,1.001032463456795,19,0.444375,0.25,0.375,0,357,0,0,-0.0036861367989331484,159.1849365234375,1.086013674736023,0.005397852510213852,0.0481770820915699
67,1,assignment_aware,1.7864992104077828,20,0.2075,0.0,0.125,0,92,0,0,8.66008922457695e-05,777.4307861328125,1.1370848417282104,0.001624397118575871,0.0
68,1,assignment_aware,4.027262687217444,20,0.3375,0.25,0.25,0,348,0,0,-0.0017454982735216618,4156.994140625,0.7935895323753357,0.002256013685837388,0.0
69,1,assignment_aware,3.883584602364863,21,0.365625,0.125,0.25,0,178,0,0,-0.000478068133816123,3299.65234375,0.8385612368583679,-0.0013575473567470908,0.0
70,1,assignment_aware,0.94148881478759,21,0.60125,0.25,0.375,0,434,0,0,0.0004445635713636875,99.85093688964844,1.161858081817627,0.0011630841763690114,0.0052083334885537624
71,1,assignment_aware,6.648777511436492,21,0.67125,0.375,0.375,0,690,0,0,-0.0026813712902367115,9673.10546875,0.5683005452156067,0.00220657791942358,0.0
72,1,assignment_aware,8.063800463452935,21,0.69,0.375,0.375,0,946,0,0,-0.00909741222858429,12051.94140625,0.4386548101902008,0.001463716966100037,0.0
73,1,assignment_aware,1.8817968501680298,22,0.259375,0.0,0.0,0,202,0,0,-0.0012711782474070787,1453.950439453125,0.7196212410926819,-0.0003199176862835884,0.0
74,1,assignment_aware,1.0278980397997657,22,0.458125,0.125,0.25,0,458,0,0,-0.001037156442180276,61.65214920043945,0.9122588634490967,0.0004816531727556139,0.0
75,1,assignment_aware,4.395616973546566,22,0.46125,0.25,0.25,0,714,0,0,-0.0006513260304927826,5266.1572265625,0.8756521344184875,0.008827018551528454,0.0690104141831398
76,1,assignment_aware,8.147008646279573,22,0.46125,0.25,0.25,0,970,0,0,-0.0008516190573573112,12363.859375,0.40456390380859375,-0.0003767247835639864,0.0
77,1,assignment_aware,1.1053320558639825,23,0.253125,0.0,0.0,0,226,0,0,0.0002328897826373577,614.6135864257812,0.7872447371482849,0.005453644786030054,0.0
78,1,assignment_aware,0.6363539563317318,23,0.425625,0.0,0.0,0,482,0,0,-0.011596482247114182,161.32821655273438,0.9256927371025085,0.014557361602783203,0.0729166641831398
79,1,assignment_aware,5.687212795834057,23,0.436875,0.0,0.0,0,738,0,0,-0.0002316985628567636,7787.3466796875,0.6202303767204285,0.002517055720090866,0.0
80,1,assignment_aware,8.143785990774632,23,0.436875,0.0,0.0,0,994,0,0,-0.0031684525310993195,12350.259765625,0.3908754885196686,0.0007685019518248737,0.0
81,1,assignment_aware,0.3339751758467173,24,0.33875,0.0,0.0,0,250,0,0,-0.005091792903840542,460.15277099609375,1.1472164392471313,0.005645300727337599,0.0
82,1,assignment_aware,0.5696979096464929,24,0.453125,0.0,0.0,0,506,0,0,-0.011035047471523285,165.76959228515625,1.1689485311508179,0.024961719289422035,0.3528645932674408
83,1,assignment_aware,6.7323579378426075,24,0.481875,0.0,0.0,0,762,0,0,-1.5203841030597687e-07,8672.2587890625,0.488405704498291,0.001696141087450087,0.0
84,1,assignment_aware,7.558225597953424,25,0.041875,0.0,0.0,0,18,0,0,-0.002586720511317253,10791.625,0.47299301624298096,0.00587886618450284,0.0403645820915699
85,1,assignment_aware,1.3638591888811789,26,0.100625,0.0,0.125,0,41,0,0,0.003183504566550255,1258.31494140625,1.0936113595962524,-0.0008998878765851259,0.0052083334885537624
86,1,assignment_aware,1.5827240310222805,26,0.245625,0.25,0.25,0,297,0,0,0.0005491115152835846,364.67376708984375,1.13205087184906,0.0008474981295876205,0.0
87,1,assignment_aware,7.702776933088899,26,0.35125,0.25,0.25,0,553,0,0,-0.00736086443066597,11473.5986328125,0.5403887629508972,0.001992630073800683,0.0
88,1,assignment_aware,6.866048460826278,26,0.35375,0.25,0.25,0,809,0,0,-1.555308699607849e-07,8220.14453125,0.4620091915130615,0.00242824200540781,0.0
89,1,assignment_aware,6.3150153094902635,27,0.1025,0.125,0.125,0,65,0,0,-5.8319419622421265e-06,6732.29541015625,0.6105894446372986,0.0004883319488726556,0.0
90,1,assignment_aware,6.651801140629686,28,0.0475,0.0,0.0,0,19,0,0,-0.0015044761821627617,8997.80078125,0.565280020236969,0.002480304567143321,0.0
91,1,assignment_aware,1.9722829944148543,28,0.16875,0.125,0.125,0,275,0,0,-0.0016205036081373692,1099.4722900390625,1.0586320161819458,-0.0002381869126111269,0.0
92,1,assignment_aware,8.151575539261103,28,0.175625,0.125,0.125,0,531,0,0,-0.001665320247411728,12360.6337890625,0.5132749676704407,0.0002780131471809,0.0
93,1,assignment_aware,4.081364901488996,28,0.288125,0.125,0.25,0,787,0,0,-0.0017180040013045073,5241.68994140625,0.9238250851631165,0.002109161578118801,0.0
94,1,assignment_aware,0.7947194140531337,29,0.279375,0.0,0.375,0,134,0,0,-0.004484198056161404,1119.379638671875,1.2579456567764282,0.003378046676516533,0.0
95,1,assignment_aware,0.5305333327660264,29,0.41875,0.125,0.375,0,390,0,0,0.006607166491448879,139.07998657226562,1.3788286447525024,-0.0010560235241428018,0.0
96,1,assignment_aware,0.4425069187286681,29,0.4525,0.25,0.375,0,646,0,0,-0.021780621260404587,182.80284118652344,1.318494200706482,0.015339936129748821,0.15625
97,1,assignment_aware,0.48722670003871826,29,0.55875,0.25,0.5,0,902,0,0,0.0008697756566107273,187.10232543945312,1.3415446281433105,0.002052287571132183,0.0872395858168602
98,1,assignment_aware,0.28357041344133904,30,0.213125,0.0,0.0,0,158,0,0,-0.0018424075096845627,793.7322998046875,1.2178224325180054,0.0016447327798232436,0.06640625
99,1,assignment_aware,-0.32440896991465706,30,0.23,0.0,0.0,0,414,0,0,-0.011531505733728409,658.015625,0.9736903309822083,-0.00014865041885059327,0.0065104165114462376
100,1,assignment_aware,1.1120190316087246,31,0.23,0.125,0.125,0,197,0,0,-0.00022627459838986397,859.59130859375,1.099511742591858,-0.0008628079667687416,0.0
101,1,assignment_aware,7.39354445040226,31,0.253125,0.125,0.125,0,453,0,0,-0.003456964623183012,10597.1953125,0.5067824721336365,0.0012413050280883908,0.0
102,1,assignment_aware,2.2145913297663355,32,0.115625,0.0,0.125,0,48,0,0,-0.0029537659138441086,3010.677734375,1.0924947261810303,0.013016372919082642,0.1419270783662796
103,1,assignment_aware,0.8806981528978213,32,0.428125,0.125,0.25,0,304,0,0,-0.0009365552105009556,65.04832458496094,1.1642284393310547,0.0030039194971323013,0.0859375
104,1,assignment_aware,1.261909844375623,33,0.34875,0.375,0.375,0,219,0,0,5.76807651668787e-05,1077.934814453125,1.1240696907043457,0.0005324957310222089,0.0
105,1,assignment_aware,0.950468992576134,33,0.495,0.5,0.5,0,475,0,0,-0.008703384548425674,60.90852355957031,1.187011957168579,0.006766283418983221,0.17578125
106,1,assignment_aware,3.3212258423372987,34,0.300625,0.0,0.0,0,154,0,0,-0.00027676206082105637,1920.0684814453125,1.00924813747406,0.0012027746997773647,0.0
107,1,assignment_aware,1.5219158840482123,34,0.49125,0.125,0.5,0,410,0,0,-0.001747220754623413,269.06475830078125,1.1144789457321167,0.007705738302320242,0.12890625
108,1,assignment_aware,0.9768865469159209,35,0.16,0.25,0.25,0,225,0,0,-0.0034892121329903603,852.23291015625,1.2442976236343384,0.010506819002330303,0.1080729141831398
109,1,assignment_aware,4.35081190027995,35,0.33,0.25,0.25,0,481,0,0,-0.00037300586700439453,4690.5263671875,0.8935210704803467,0.0030652256682515144,0.0377604179084301
110,1,assignment_aware,8.086555985733867,35,0.34625,0.25,0.25,0,737,0,0,4.0046870708465576e-08,12118.35546875,0.48600831627845764,0.0003736113721970469,0.0
111,1,assignment_aware,6.216010079602711,36,0.213125,0.375,0.75,0,93,0,0,-0.0012713228352367878,7371.29150390625,0.7041986584663391,0.00177200126927346,0.0026041667442768812
112,1,assignment_aware,3.366403541112959,36,0.37,0.75,0.75,0,349,0,0,-0.004660663660615683,1883.0162353515625,0.903674304485321,0.0018845744198188186,0.0
113,1,assignment_aware,8.133287321776152,36,0.41875,0.75,0.75,0,605,0,0,2.123415470123291e-07,12247.828125,0.4582177698612213,0.00038456000038422644,0.0
114,1,assignment_aware,7.01805077039171,36,0.61,0.75,0.875,0,861,0,0,-0.0016451738774776459,10300.8173828125,0.5792272090911865,0.002494992921128869,0.0026041667442768812
115,1,assignment_aware,3.2289325494348304,38,0.194375,0.125,0.25,0,81,0,0,-0.0011082114651799202,1753.0643310546875,1.0382659435272217,0.002748155267909169,0.0026041667442768812
116,1,assignment_aware,1.7480164785083616,38,0.42125,0.5,0.5,0,337,0,0,0.002596801146864891,256.1287841796875,0.9983214735984802,0.008474166505038738,0.0338541679084301
117,1,assignment_aware,5.789285730063966,38,0.57,0.5,0.75,0,593,0,0,-0.0033832001499831676,7994.67041015625,0.6344526410102844,0.005033425521105528,0.05078125
118,1,assignment_aware,4.2117487019677355,38,0.6425,0.75,0.75,0,849,0,0,-0.0024134484119713306,5103.23828125,0.904681384563446,0.00753103569149971,0.0338541679084301
119,1,assignment_aware,6.037198125442956,39,0.23,0.375,0.375,0,105,0,0,-0.002337623853236437,6811.50439453125,0.6896765828132629,0.0032516426872462034,0.0
120,1,assignment_aware,6.9727353632915765,39,0.294375,0.375,0.375,0,361,0,0,0.00013521965593099594,9371.3505859375,0.5321592688560486,-0.0001725521869957447,0.0
121,1,assignment_aware,8.13388005644083,39,0.305,0.375,0.375,0,617,0,0,8.66129994392395e-08,12287.126953125,0.4874262809753418,0.00036577615537680686,0.0
122,1,assignment_aware,7.090561958379112,39,0.393125,0.375,0.5,0,873,0,0,-0.006905596237629652,10382.4755859375,0.5808043479919434,0.0010166490683332086,0.0
123,1,assignment_aware,0.61860534833977,41,0.261875,0.125,0.125,0,221,0,0,-0.005395551212131977,1390.8006591796875,1.1143128871917725,0.001515269628725946,0.0403645820915699
124,1,assignment_aware,1.2036359765115776,42,0.51625,0.125,0.375,0,224,0,0,-0.005158149637281895,1014.4705810546875,1.1600185632705688,0.0070448680780828,0.05078125
125,1,assignment_aware,1.453183746914874,42,0.704375,0.625,0.75,0,480,0,0,0.0018222425132989883,107.111328125,1.185275673866272,0.005414822604507208,0.01953125
126,1,assignment_aware,4.570626628948958,42,0.715625,0.75,0.75,0,736,0,0,0.0008526657475158572,4666.189453125,0.8144344687461853,0.00026660095318220556,0.0
127,1,assignment_aware,8.128915905952454,42,0.71625,0.75,0.75,0,992,0,0,-1.210719347000122e-07,12261.1396484375,0.47524213790893555,0.00042317560291849077,0.0
128,1,assignment_aware,3.5677960728062317,43,0.36375,0.0,0.0,0,248,0,0,-0.0011406359262764454,2298.28564453125,0.9120159149169922,0.00524009158834815,0.0
129,1,assignment_aware,6.214285722235218,43,0.453125,0.0,0.125,0,504,0,0,0.00016545597463846207,8387.478515625,0.6535179018974304,0.0011458896333351731,0.0052083334885537624
130,1,assignment_aware,6.440189322514925,43,0.468125,0.125,0.125,0,760,0,0,-0.00045935693196952343,8654.4033203125,0.6890942454338074,0.005613844841718674,0.01171875
131,1,assignment_aware,3.3210613499977626,44,0.03,0.0,0.0,0,16,0,0,-0.0001741638407111168,3133.168212890625,0.8946111798286438,8.297711610794067e-05,0.0
132,1,assignment_aware,1.2436335931051872,44,0.354375,0.0,0.0,0,272,0,0,-0.002009002259001136,323.5468444824219,0.9646829962730408,0.0005404755938798189,0.0
133,1,assignment_aware,1.1969471389820683,44,0.408125,0.25,0.25,0,528,0,0,-0.009673897176980972,392.6491394042969,1.2231507301330566,0.002180289477109909,0.0924479141831398
134,1,assignment_aware,3.4212602869956754,45,0.166875,0.0,0.0,0,71,0,0,-0.0027395463548600674,3646.22021484375,0.900747537612915,0.002786703407764435,0.0
135,1,assignment_aware,2.3002167280501453,45,0.505,0.0,0.375,0,327,0,0,-0.001614992506802082,745.9945068359375,0.9927008748054504,0.00018349599849898368,0.0
136,1,assignment_aware,2.695922663275269,45,0.608125,0.375,0.375,0,583,0,0,-0.0029012577142566442,1362.210205078125,1.0947175025939941,0.001594080007635057,0.0052083334885537624
137,1,assignment_aware,8.06906926073134,45,0.609375,0.375,0.375,0,839,0,0,2.3283064365386963e-08,12202.76953125,0.49962589144706726,-0.0009176386520266533,0.0
138,1,assignment_aware,6.013751713922829,46,0.184375,0.0,0.125,0,95,0,0,8.787866681814194e-05,7022.2060546875,0.5986472964286804,0.0003645786491688341,0.0
139,1,assignment_aware,2.8259368347062264,46,0.369375,0.125,0.125,0,351,0,0,-0.0018066978082060814,1807.8485107421875,0.9551029801368713,0.0013588001020252705,0.0
140,1,assignment_aware,8.185527306050062,46,0.435625,0.125,0.125,0,607,0,0,1.1920928955078125e-07,12397.8330078125,0.4746617376804352,0.0011533470824360847,0.0
141,1,assignment_aware,8.187014795839787,46,0.515625,0.125,0.125,0,863,0,0,-1.3131648302078247e-07,12405.994140625,0.49290600419044495,0.0009042299352586269,0.0
142,1,assignment_aware,4.4311652840915485,47,0.135,0.0,0.0,0,119,0,0,-0.0014660547021776438,5612.71044921875,0.6827252507209778,0.008140536956489086,0.0611979179084301
143,1,assignment_aware,3.7041746760805836,47,0.314375,0.0,0.375,0,375,0,0,-0.008238565176725388,3153.84130859375,0.8783381581306458,-9.742868132889271e-05,0.009114583022892475
144,1,assignment_aware,2.834632458660053,47,0.443125,0.625,0.625,0,631,0,0,0.002313771517947316,1188.89453125,1.0624841451644897,0.0008826614357531071,0.0
145,1,assignment_aware,7.747781508602202,47,0.50375,0.625,0.625,0,887,0,0,-0.00041457870975136757,11641.94921875,0.5640234351158142,0.0003587213286664337,0.0
146,1,assignment_aware,4.0663641246646876,48,0.1375,0.0,0.0,0,143,0,0,-0.005389820784330368,4439.86669921875,0.7604591250419617,0.0013468299293890595,0.0
147,1,assignment_aware,6.265336103628215,48,0.234375,0.0,0.0,0,399,0,0,-0.0012440156424418092,8556.5693359375,0.7081958651542664,0.0011022371472790837,0.0
148,1,assignment_aware,2.449158372332022,48,0.378125,0.25,0.5,0,655,0,0,-0.0039008185267448425,821.6615600585938,1.0309909582138062,0.0021052807569503784,0.0
149,1,assignment_aware,2.3341185558092548,48,0.43125,0.5,0.5,0,911,0,0,-0.003572965506464243,1348.690185546875,1.0530827045440674,0.0068017952144145966,0.0
150,1,assignment_aware,3.0044879782071803,49,0.158125,0.0,0.0,0,167,0,0,-0.0025149451103061438,3241.86669921875,0.7274384498596191,0.0013063122751191258,0.0
151,1,assignment_aware,0.657717029491323,50,0.33125,0.125,0.25,0,238,0,0,-0.00551298214122653,970.7989501953125,1.1258176565170288,0.004677009303122759,0.0
152,1,assignment_aware,1.3027279215566523,50,0.37125,0.375,0.5,0,494,0,0,1.2088567018508911e-05,199.32188415527344,1.0873576402664185,-0.00029804432415403426,0.0
153,1,assignment_aware,4.3095979155550594,50,0.418125,0.5,0.5,0,750,0,0,-0.0021468820050358772,4970.3779296875,0.9397423267364502,0.0001026274767355062,0.0
154,1,assignment_aware,7.830328572657891,51,0.016875,0.0,0.0,0,6,0,0,-0.0004943720996379852,10997.2314453125,0.5042049884796143,-0.00010538349306443706,0.0
155,1,assignment_aware,0.9363327480241423,52,0.130625,0.125,0.125,0,56,0,0,-0.003541084472090006,872.9573974609375,1.0049163103103638,0.001848950400017202,0.0
156,1,assignment_aware,3.785397592391746,52,0.258125,0.125,0.125,0,312,0,0,3.3274292945861816e-05,4358.662109375,0.9634339213371277,0.001515180803835392,0.0
157,1,assignment_aware,8.145966719835997,52,0.25875,0.125,0.125,0,568,0,0,-0.0008262153714895248,12254.1572265625,0.47780266404151917,0.0001902178191812709,0.0
158,1,assignment_aware,6.044125994085334,52,0.324375,0.125,0.25,0,824,0,0,-0.004179995507001877,8485.3876953125,0.6418492197990417,0.004275439772754908,0.0
159,1,assignment_aware,4.118965382942406,53,0.111875,0.0,0.25,0,80,0,0,0.003048363607376814,3954.60546875,0.8543500900268555,0.0005171343800611794,0.0078125
160,1,assignment_aware,5.367138377172523,53,0.276875,0.25,0.375,0,336,0,0,-0.0001471550203859806,6347.97802734375,0.7550845146179199,0.0037494816351681948,0.010416666977107525
161,1,assignment_aware,3.1298754595391074,53,0.3575,0.5,0.5,0,592,0,0,-0.005667650140821934,2728.863037109375,1.0395317077636719,0.004732644651085138,0.01822916604578495
