target_distribution,communication_radius,episodes,coverage_ratio_mean,coverage_ratio_std,inspection_success_rate_mean,inspection_success_rate_std,target_detection_rate_mean,target_detection_rate_std,mission_success_mean,mission_success_std,mission_time_mean,mission_time_std,total_energy_consumption_mean,total_energy_consumption_std,collision_count_mean,collision_count_std,near_miss_count_mean,near_miss_count_std,communication_loss_count_mean,communication_loss_count_std,invalid_action_count_mean,invalid_action_count_std,detected_targets_mean,detected_targets_std,inspected_targets_mean,inspected_targets_std,quadrotor_invalid_hover_inspect_count_mean,quadrotor_invalid_hover_inspect_count_std
clustered,400.0,10,0.7813749999999999,0.0574877704385898,0.9875,0.03952847075210474,0.95,0.06454972243679027,0.9,0.31622776601683794,528.9,172.75445001504303,106.25499999999836,19.35291321739503,0.0,0.0,0.3,0.9486832980505139,930.7,536.0725593507738,0.0,0.0,7.6,0.5163977794943222,7.9,0.31622776601683794,0.0,0.0
clustered,800.0,10,0.7813749999999999,0.0574877704385898,0.9875,0.03952847075210474,0.95,0.06454972243679027,0.9,0.31622776601683794,528.9,172.75445001504303,106.25499999999836,19.35291321739503,0.0,0.0,0.3,0.9486832980505139,227.5,256.8943795068748,0.0,0.0,7.6,0.5163977794943222,7.9,0.31622776601683794,0.0,0.0
clustered,1200.0,10,0.7813749999999999,0.0574877704385898,0.9875,0.03952847075210474,0.95,0.06454972243679027,0.9,0.31622776601683794,528.9,172.75445001504303,106.25499999999836,19.35291321739503,0.0,0.0,0.3,0.9486832980505139,21.4,58.782461481106566,0.0,0.0,7.6,0.5163977794943222,7.9,0.31622776601683794,0.0,0.0
edge,400.0,10,0.8503125,0.009452228205854722,0.775,0.14191155304938669,0.775,0.14191155304938669,0.2,0.42163702135578396,948.0,133.87307421584072,160.7599999999994,18.43500293825246,0.0,0.0,0.8,1.7511900715418263,1798.9,501.3079448358619,0.0,0.0,6.2,1.1352924243950935,6.2,1.1352924243950935,0.0,0.0
edge,800.0,10,0.8503125,0.009452228205854722,0.775,0.14191155304938669,0.775,0.14191155304938669,0.2,0.42163702135578396,948.0,133.87307421584072,160.7599999999994,18.43500293825246,0.0,0.0,0.8,1.7511900715418263,631.0,194.769379295389,0.0,0.0,6.2,1.1352924243950935,6.2,1.1352924243950935,0.0,0.0
edge,1200.0,10,0.8503125,0.009452228205854722,0.775,0.14191155304938669,0.775,0.14191155304938669,0.2,0.42163702135578396,948.0,133.87307421584072,160.7599999999994,18.43500293825246,0.0,0.0,0.8,1.7511900715418263,111.1,81.41860284289389,0.0,0.0,6.2,1.1352924243950935,6.2,1.1352924243950935,0.0,0.0
uniform,400.0,10,0.832625,0.03800676109442753,0.9,0.09860132971832694,0.9,0.09860132971832694,0.4,0.5163977794943222,812.7,246.36289854151696,147.8599999999995,30.56750998473317,0.0,0.0,0.7,2.2135943621178655,1641.4,523.3735016431594,0.0,0.0,7.2,0.7888106377466155,7.2,0.7888106377466155,0.0,0.0
uniform,800.0,10,0.832625,0.03800676109442753,0.9,0.09860132971832694,0.9,0.09860132971832694,0.4,0.5163977794943222,812.7,246.36289854151696,147.8599999999995,30.56750998473317,0.0,0.0,0.7,2.2135943621178655,589.6,300.5809929675084,0.0,0.0,7.2,0.7888106377466155,7.2,0.7888106377466155,0.0,0.0
uniform,1200.0,10,0.832625,0.03800676109442753,0.9,0.09860132971832694,0.9,0.09860132971832694,0.4,0.5163977794943222,812.7,246.36289854151696,147.8599999999995,30.56750998473317,0.0,0.0,0.7,2.2135943621178655,59.2,101.63529570642933,0.0,0.0,7.2,0.7888106377466155,7.2,0.7888106377466155,0.0,0.0
