coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,total_energy_consumption,fixedwing_final_battery,quadrotor_mean_final_battery,quadrotor_min_final_battery,collision_count,near_miss_count,communication_loss_count,invalid_action_count,detected_targets,inspected_targets,candidate_targets,redundant_coverage_proxy,termination_reason,fixedwing_mean_final_battery,n_fixedwings,n_quadrotors,n_targets,quadrotor_hover_inspect_count,quadrotor_valid_hover_inspect_count,quadrotor_invalid_hover_inspect_count,mean_distance_to_candidate,time_in_candidate_range,scenario,seed,baseline,evaluation_mode
0.9600694444444444,0.9,0.9,0,1200,311.30000000001326,25.40000000000336,18.950000000001474,17.100000000001437,0,2,1173,0,9,9,23,0.5391666666666667,max_steps_reached,25.40000000000336,2,2,10,924,924,0,339.34293607731803,934,2,0,sweep_assisted_ca_hmappo,sampling
0.9583333333333334,0.9,0.9,0,1200,319.9500000000159,25.40000000000336,14.625000000001453,11.200000000001431,0,0,1245,0,9,9,28,0.54,max_steps_reached,25.40000000000336,2,2,10,840,840,0,300.29079094144555,853,2,1,sweep_assisted_ca_hmappo,sampling
0.9596354166666666,0.9,0.9,0,1200,287.45000000001284,25.40000000000336,30.875000000001638,26.000000000001563,0,0,1002,0,9,9,26,0.539375,max_steps_reached,25.40000000000336,2,2,10,1195,1195,0,256.8492172354858,1200,2,2,sweep_assisted_ca_hmappo,sampling
0.8615451388888888,1.0,1.0,1,569,188.14999999999833,63.55000000000207,42.2750000000017,42.2000000000017,0,0,491,0,10,10,18,0.12785588752196836,all_targets_inspected,63.650000000002066,2,2,10,11,11,0,462.9878572049205,25,2,3,sweep_assisted_ca_hmappo,sampling
0.9162326388888888,1.0,1.0,1,780,233.20000000000203,50.60000000000264,32.80000000000159,32.650000000001576,0,0,1099,0,10,10,26,0.3233974358974359,all_targets_inspected,50.60000000000263,2,2,10,291,291,0,388.93827753824024,302,2,4,sweep_assisted_ca_hmappo,sampling
0.9622395833333334,0.9,0.9,0,1200,331.3500000000196,25.40000000000336,8.925000000001411,8.650000000001416,0,0,1264,0,9,9,29,0.538125,max_steps_reached,25.40000000000336,2,2,10,706,706,0,461.26971932631903,720,2,5,sweep_assisted_ca_hmappo,sampling
0.9483506944444444,1.0,1.0,1,983,318.0000000000146,38.65000000000319,2.300000000001387,1.4000000000013761,0,3,1029,0,10,10,23,0.4443031536113937,all_targets_inspected,38.700000000003186,2,2,10,42,42,0,636.5714210514225,52,2,6,sweep_assisted_ca_hmappo,sampling
0.9592013888888888,0.9,0.9,0,1200,323.05000000001854,25.40000000000336,13.075000000001431,8.150000000001436,0,0,1908,0,9,9,21,0.5395833333333333,max_steps_reached,25.40000000000336,2,2,10,769,769,0,356.24583548343315,786,2,7,sweep_assisted_ca_hmappo,sampling
0.9422743055555556,1.0,1.0,1,773,253.7000000000004,50.95000000000262,22.200000000001424,21.800000000001432,0,0,640,0,10,10,16,0.2978654592496766,all_targets_inspected,50.95000000000261,2,2,10,15,15,0,543.7249479189106,22,2,8,sweep_assisted_ca_hmappo,sampling
0.9361979166666666,1.0,1.0,1,864,257.7500000000032,45.40000000000286,25.62500000000149,24.850000000001465,0,4,1055,0,10,10,18,0.3758680555555556,all_targets_inspected,45.500000000002856,2,2,10,288,288,0,472.3864499323653,304,2,9,sweep_assisted_ca_hmappo,sampling
0.9609375,0.8,0.8,0,1200,348.3000000000242,25.40000000000336,0.4500000000007023,0.0,0,1,1278,0,8,8,28,0.53875,max_steps_reached,25.40000000000336,2,2,10,340,340,0,537.8002411169313,354,2,10,sweep_assisted_ca_hmappo,sampling
