step,agent_id,uav_type,x,y,action,action_name,battery,nearest_candidate_distance,in_candidate_range,coverage_ratio,target_detection_rate,inspection_success_rate,collision_count
15,quadrotor_0,quadrotor,165.0,75.0,2,move_east,98.50000000000009,,,0.036875,0.0,0.0,0
15,quadrotor_1,quadrotor,210.0,165.0,2,move_east,98.50000000000009,,,0.036875,0.0,0.0,0
16,fixedwing_0,fixedwing,316.44365797004224,357.398547255761,8,orbit_candidate,99.00000000000006,,,0.03875,0.0,0.0,0
16,quadrotor_0,quadrotor,180.0,75.0,2,move_east,98.40000000000009,,,0.03875,0.0,0.0,0
16,quadrotor_1,quadrotor,225.0,165.0,2,move_east,98.40000000000009,,,0.03875,0.0,0.0,0
17,fixedwing_0,fixedwing,335.72728626063844,380.3798805493303,8,orbit_candidate,98.95000000000006,,,0.0425,0.0,0.0,0
17,quadrotor_0,quadrotor,195.0,75.0,2,move_east,98.3000000000001,,,0.0425,0.0,0.0,0
17,quadrotor_1,quadrotor,240.0,165.0,3,move_west,98.3000000000001,,,0.0425,0.0,0.0,0
18,fixedwing_0,fixedwing,355.01091455123463,403.36121384289964,8,orbit_candidate,98.90000000000006,,,0.044375,0.0,0.0,0
18,quadrotor_0,quadrotor,210.0,75.0,2,move_east,98.2000000000001,,,0.044375,0.0,0.0,0
18,quadrotor_1,quadrotor,225.0,165.0,2,move_east,98.2000000000001,,,0.044375,0.0,0.0,0
19,fixedwing_0,fixedwing,374.29454284183083,426.34254713646897,8,orbit_candidate,98.85000000000007,,,0.04625,0.0,0.0,0
19,quadrotor_0,quadrotor,225.0,75.0,2,move_east,98.10000000000011,,,0.04625,0.0,0.0,0
19,quadrotor_1,quadrotor,240.0,165.0,2,move_east,98.10000000000011,,,0.04625,0.0,0.0,0
20,fixedwing_0,fixedwing,393.57817113242703,449.3238804300383,8,orbit_candidate,98.80000000000007,,,0.049375,0.0,0.0,0
20,quadrotor_0,quadrotor,240.0,75.0,2,move_east,98.00000000000011,,,0.049375,0.0,0.0,0
20,quadrotor_1,quadrotor,255.0,165.0,2,move_east,98.00000000000011,,,0.049375,0.0,0.0,0
21,fixedwing_0,fixedwing,412.86179942302323,472.3052137236076,8,orbit_candidate,98.75000000000007,,,0.051875,0.0,0.0,0
21,quadrotor_0,quadrotor,255.0,75.0,2,move_east,97.90000000000012,,,0.051875,0.0,0.0,0
21,quadrotor_1,quadrotor,270.0,165.0,2,move_east,97.90000000000012,,,0.051875,0.0,0.0,0
22,fixedwing_0,fixedwing,432.1454277136194,495.28654701717693,8,orbit_candidate,98.70000000000007,,,0.05625,0.0,0.0,0
22,quadrotor_0,quadrotor,270.0,75.0,2,move_east,97.80000000000013,,,0.05625,0.0,0.0,0
