coverage_ratio_mean,coverage_ratio_std,inspection_success_rate_mean,inspection_success_rate_std,target_detection_rate_mean,target_detection_rate_std,mission_success_mean,mission_success_std,mission_time_mean,mission_time_std,total_energy_consumption_mean,total_energy_consumption_std,collision_count_mean,collision_count_std,near_miss_count_mean,near_miss_count_std,communication_loss_count_mean,communication_loss_count_std,invalid_action_count_mean,invalid_action_count_std,detected_targets_mean,detected_targets_std,inspected_targets_mean,inspected_targets_std,candidate_targets_mean,candidate_targets_std,quadrotor_hover_inspect_count_mean,quadrotor_hover_inspect_count_std,quadrotor_valid_hover_inspect_count_mean,quadrotor_valid_hover_inspect_count_std,quadrotor_invalid_hover_inspect_count_mean,quadrotor_invalid_hover_inspect_count_std,mean_distance_to_candidate_mean,mean_distance_to_candidate_std,time_in_candidate_range_mean,time_in_candidate_range_std,checkpoint,update,eval_mode
0.7446875000000001,0.07687034199980293,0.5375,0.31208305518456675,0.6375,0.2389938399949998,0.0,0.0,983.1,53.44249245684561,242.7249999999978,15.90019653966591,0.1,0.31622776601683794,1.8,1.9321835661585918,780.2,319.4320654606304,0.0,0.0,5.1,1.9119507199599983,4.3,2.496664441476534,14.7,2.359378449224852,397.0,98.62837094647541,263.6,99.43864663421584,133.4,40.66994522303226,327.57192340947825,113.06326600969413,609.0,191.98784683758848,models\3c_capability_aware_mappo_safety_ft\capability_aware_mappo_scenario_1_update_800.pt,800,sampling
0.6584375,0.27406109447884874,0.5375,0.3586723202776224,0.575,0.3872983346207417,0.1,0.31622776601683794,759.6,343.8776268125366,190.7599999999977,83.22952801339929,0.4,0.5163977794943223,1.8,2.3475755815545347,648.8,341.59000766025537,0.0,0.0,4.6,3.0983866769659336,4.3,2.8693785622209793,11.0,6.666666666666667,261.5,185.7191727073732,113.0,116.08043188525217,148.5,94.1089793802908,453.6908425840461,293.2299191439392,281.3,275.0054746929797,models\3c_capability_aware_mappo_safety_ft\capability_aware_mappo_scenario_1_update_200.pt,200,sampling
0.6759375,0.14773264668255737,0.525,0.21889875894272828,0.6125,0.216105041331499,0.0,0.0,873.8,270.1969651939118,220.88499999999758,62.993805030512064,0.2,0.4216370213557839,3.9,7.294594650226365,677.3,224.9079070790235,0.0,0.0,4.9,1.728840330651992,4.2,1.7511900715418263,12.9,5.743595467030115,310.4,178.53614635573257,172.1,165.49484718396656,138.3,90.49131327247814,396.03179766740226,160.79120773771155,427.5,376.8557784853216,models\3c_capability_aware_mappo_safety_ft\capability_aware_mappo_scenario_1_update_300.pt,300,sampling
0.6296875000000001,0.09517949508545537,0.5,0.1954339899926429,0.525,0.16457014715109583,0.0,0.0,955.3,116.2774937619295,217.97999999999817,28.22906500596699,0.2,0.4216370213557839,2.6,2.1186998109427604,669.6,207.64403300948584,0.0,0.0,4.2,1.3165611772087666,4.0,1.563471919941143,13.8,3.359894178227774,528.4,174.3758393050291,346.6,185.64194928230347,181.8,42.72600041088694,305.7459737111139,113.33930527754268,613.4,324.32021213609244,models\3c_capability_aware_mappo_safety_ft\capability_aware_mappo_scenario_1_update_700.pt,700,sampling
0.5875625,0.13933449523538669,0.475,0.20241596335818532,0.5,0.1954339899926429,0.0,0.0,891.8,222.1164859557555,223.8149999999978,54.13944982891618,0.3,0.48304589153964794,1.8,2.0976176963403033,623.0,369.7509672438705,0.0,0.0,4.0,1.563471919941143,3.8,1.6193277068654826,12.3,3.8600518131237567,365.3,160.12914926534907,246.8,156.0760498389594,118.5,68.71236343547564,285.1914678035269,85.66768348850881,559.4,327.4515061637202,models\3c_capability_aware_mappo_safety_ft\capability_aware_mappo_scenario_1_update_600.pt,600,sampling
0.560375,0.14062089500181368,0.4625,0.2571883227001827,0.5,0.23570226039551584,0.0,0.0,925.3,177.45362461468318,234.21999999999719,42.871838723753825,0.2,0.4216370213557839,1.6,2.0655911179772892,685.1,368.79095252821304,0.0,0.0,4.0,1.8856180831641267,3.7,2.0575065816014617,12.2,4.3410188256265885,300.5,101.79745685537641,140.6,75.60746582771365,159.9,42.027636410131635,249.40658327465385,84.68300386712053,483.6,252.30457784194087,models\3c_capability_aware_mappo_safety_ft\capability_aware_mappo_scenario_1_update_100.pt,100,sampling
0.5494375,0.14398876607897035,0.3625,0.19048549084437436,0.375,0.21245914639969937,0.0,0.0,824.4,292.9581691793026,206.22999999999814,66.82687084299731,0.3,0.48304589153964794,1.5,1.509230856356236,707.9,496.2959354614498,0.0,0.0,3.0,1.699673171197595,2.9,1.5238839267549948,11.0,5.2493385826745405,378.3,223.5889333377462,301.8,203.14078314749545,76.5,55.78978401105349,276.5754391617412,123.28343484504774,728.9,470.657093859213,models\3c_capability_aware_mappo_safety_ft\capability_aware_mappo_scenario_1_update_500.pt,500,sampling
0.2896875,0.0707740254161872,0.225,0.1536590742882148,0.225,0.1536590742882148,0.0,0.0,792.5,255.89765749438018,194.44499999999806,56.03029165847113,0.5,0.5270462766947299,6.1,5.70477382938574,346.1,222.05727489396364,0.0,0.0,1.8,1.2292725943057183,1.8,1.2292725943057183,8.7,3.8600518131237567,426.3,273.62669216775373,375.4,253.0925171201674,50.9,29.080157419717583,228.04041544895486,161.45720569628676,863.0,549.5984392667473,models\3c_capability_aware_mappo_safety_ft\capability_aware_mappo_scenario_1_update_900.pt,900,sampling
0.4261875,0.1133599271801009,0.2125,0.17726706155152205,0.2125,0.17726706155152205,0.0,0.0,931.6,170.502655567459,245.30499999999807,41.97633890393292,0.2,0.4216370213557839,2.8,4.779586221049312,604.1,272.94095820647124,0.0,0.0,1.7,1.4181364924121764,1.7,1.4181364924121764,9.6,2.6331223544175333,351.8,122.3653908950112,253.6,119.32886397589553,98.2,52.05936781961319,188.70757456683978,85.41055079388902,882.2,410.9900782798101,models\3c_capability_aware_mappo_safety_ft\capability_aware_mappo_scenario_1_update_400.pt,400,sampling
0.3665625,0.09220686001986088,0.2125,0.19587765455905265,0.2625,0.19048549084437436,0.0,0.0,787.9,276.5254458855861,176.59499999999835,55.029852756884786,0.5,0.5270462766947299,2.1,2.0789954839350235,533.1,506.7093074162169,0.0,0.0,2.1,1.5238839267549948,1.7,1.5670212364724212,8.8,3.011090610836324,595.1,297.4104720565315,519.4,284.38713832458114,75.7,43.212781031130646,228.59730037872728,124.90346645676762,923.1,500.28690657350694,models\3c_capability_aware_mappo_safety_ft\capability_aware_mappo_scenario_1_update_1000.pt,1000,sampling
